"NCT.Number","drugs"
"NCT00005640",""
"NCT02633098","Artesunate 200mg | Placebo"
"NCT02437071","Pembrolizumab"
"NCT02568046","Sym004 | Irinotecan | Folinic Acid | Fluorouracil"
"NCT01952730","GVAX"
"NCT02647099","Acetylsalicylic acid | Placebo"
"NCT02827565",""
"NCT02415699","Fluorouracil | Oxaliplatin | Leucovorin | DC-CIK"
"NCT00598247","Paclitaxel Poliglumex"
"NCT00197405",""
"NCT01909830","Arm A : Gemcitabine + Pemetrexed"
"NCT02809716",""
"NCT02278133","WNT974 | LGX818 | Cetuximab"
"NCT00273585",""
"NCT01371942",""
"NCT02607787",""
"NCT00004252","fluorouracil | leucovorin calcium | semaxanib"
"NCT02179970","Plerixafor"
"NCT00064181","FOLFIRI regimen | capecitabine | celecoxib | fluorouracil | irinotecan hydrochloride | leucovorin calcium"
"NCT00373022",""
"NCT00155558","5-Fluorouracil, Leucovorin"
"NCT02350530","FOLFOXIRI + Bevacizumab | FOLFOXIRI"
"NCT01881932",""
"NCT00565708","Acetylsalicylic acid"
"NCT00019747","thalidomide"
"NCT02271464","Maintenance:BEVACIZUMAB | Maintenance:BEVACIZUMAB+CAPECITABINE+CYCLOPHOSPHAMIDE"
"NCT02477553",""
"NCT00002893","fluorouracil | leucovorin calcium | raltitrexed"
"NCT02557061","Blood sampling"
"NCT02090101","ANAKINRA"
"NCT00889343","Sorafenib | Placebo | Oxaliplatin or Irinotecan | Leucovorin | 5-Fluorouracil"
"NCT00973869",""
"NCT00503685","IMC-A12 | cetuximab"
"NCT00466505","cetuximab | celecoxib"
"NCT02522520",""
"NCT02244632","Modufolin | Fluorouracil | Oxaliplatin | Irinotecan"
"NCT00749450","capecitabine | fluorouracil | oxaliplatin"
"NCT01634126",""
"NCT01106261",""
"NCT00031863","rofecoxib"
"NCT02227667","MEDI4736"
"NCT00006103","fluorouracil | irinotecan hydrochloride | leucovorin calcium"
"NCT00205322","chemotherapy"
"NCT00873275","bevacizumab | FOLFOX regimen | fluorouracil | leucovorin calcium | oxaliplatin | ursodiol"
"NCT00729677",""
"NCT00006786","bevacizumab | fluorouracil | irinotecan hydrochloride | leucovorin calcium"
"NCT02423785",""
"NCT00224601",""
"NCT00006468","FOLFOX regimen | fluorouracil | leucovorin calcium | oxaliplatin"
"NCT02164916","cetuximab | irinotecan hydrochloride | vemurafenib"
"NCT02141945",""
"NCT00642746","Erlotinib | Fluorouracil | Leucovorin | Oxaliplatin | Irinotecan"
"NCT00002570","fluorouracil | leucovorin calcium"
"NCT00656123","GM-K562 cell vaccine | allogeneic tumor cell vaccine | cyclophosphamide"
"NCT01286883",""
"NCT00107315","bevacizumab | capecitabine"
"NCT01315990","FOLFIRI + Cetuximab"
"NCT00560365",""
"NCT00274872","fluorouracil | leucovorin calcium | oxaliplatin"
"NCT00337545","RAD001"
"NCT00002716","dexamethasone | floxuridine | fluorouracil | leucovorin calcium"
"NCT01516216","FOLFOX + bevacizumab"
"NCT00952029","bevacizumab | FOLFIRI regimen | fluorouracil | irinotecan hydrochloride | leucovorin calcium"
"NCT00072553","celecoxib | fluorouracil | leucovorin calcium | oxaliplatin"
"NCT00004885","FOLFIRI regimen | fluorouracil | irinotecan hydrochloride | leucovorin calcium"
"NCT00995202",""
"NCT02324114",""
"NCT00893295",""
"NCT00008060","FOLFIRI regimen | FOLFOX regimen | fluorouracil | irinotecan hydrochloride | leucovorin calcium | oxaliplatin"
"NCT00109070","Avastin"
"NCT00940316","panitumumab | erlotinib hydrochloride | irinotecan hydrochloride"
"NCT01549327",""
"NCT01205711","FOLFIRI regimen | fluorouracil | irinotecan hydrochloride | leucovorin calcium | zibotentan"
"NCT01565811",""
"NCT01320319",""
"NCT00004142","Floxuridine | Fluorouracil"
"NCT00003260","FOLFIRI regimen | FOLFOX regimen | fluorouracil | irinotecan hydrochloride | leucovorin calcium | oxaliplatin"
"NCT01279681","bevacizumab | capecitabine | fluorouracil | leucovorin calcium | oxaliplatin"
"NCT00003287","FOLFOX regimen | fluorouracil | leucovorin calcium | oxaliplatin"
"NCT00449163","bevacizumab | floxuridine | irinotecan hydrochloride | leucovorin calcium"
"NCT01312857","panitumumab | Randomization to No Panitumumab"
"NCT01281761","cetuximab/irinotecan/simvastatin"
"NCT02723578","Pemetrexed | Erlotinib"
"NCT00262171",""
"NCT01991873","Maintenance Chemotherapy | Panitumumab | mFOLFOX6 | Panitumumab"
"NCT01086618","systemic chemotherapy"
"NCT00021281","FOLFIRI regimen | fluorouracil | irinotecan hydrochloride | leucovorin calcium | semaxanib"
"NCT00544700","bevacizumab"
"NCT00323011","Fragmin, 5-Fluorouracil, Folinic Acid, irinotecan, bevacizumab"
"NCT02817178",""
"NCT01822444",""
"NCT00920803","Placebo | SRT501"
"NCT01596790",""
"NCT01776307","BBI608 | Panitumumab | Capecitabine | Cetuximab"
"NCT00423696","bevacizumab | capecitabine | fluorouracil | irinotecan hydrochloride | leucovorin calcium"
"NCT01079780","cetuximab | ramucirumab | irinotecan hydrochloride"
"NCT00819754","IXO regimen + bevacizumab"
"NCT01175291","MK-0646 | Placebo"
"NCT00541125","bevacizumab | filgrastim | fluorouracil | irinotecan hydrochloride | leucovorin calcium"
"NCT01105169",""
"NCT00303771","fluorouracil | irinotecan hydrochloride | leucovorin calcium"
"NCT00098787","bevacizumab | fluorouracil | irinotecan hydrochloride | leucovorin calcium | Oxaliplatin"
"NCT00020501","FOLFIRI regimen | floxuridine | fluorouracil | irinotecan hydrochloride | leucovorin calcium | melphalan"
"NCT02075086","Xelox or Xeliri Bevacizumab"
"NCT00003843","irinotecan hydrochloride"
"NCT01523639","Metformin/Placebo"
"NCT01859858","Irinotecan"
"NCT01522612","Cetuximab | 5-fluorouracil | leucovorin"
"NCT01362361","mFOLFOX6 + BIBF 1120 | mFOLFOX6+placebo"
"NCT01688817",""
"NCT00769405","fluorouracil | leucovorin calcium | oxaliplatin"
"NCT01358812","FOLFOXIRI + Panitumumab"
"NCT00003063","recombinant interferon alfa | fluorouracil | leucovorin calcium | levamisole hydrochloride"
"NCT00303745","capecitabine | irinotecan hydrochloride"
"NCT02813278",""
"NCT01456923",""
"NCT01670721","AFLIBERCEPT AVE0005 | irinotecan | fluorouracil | Leucovorin"
"NCT00277303","XL999"
"NCT02277093","Pacritinib"
"NCT00087360",""
"NCT00220155","Gemcitabine"
"NCT00003431","recombinant flt3 ligand"
"NCT02796820","Huaier Granule"
"NCT00209703","Oxaliplatin | l-Leucovorin | 5-Fluorouracil"
"NCT00891332","S-1 plus LV"
"NCT00227734","capecitabine and oxaliplatin + cetuximab | capecitabine and oxaliplatin"
"NCT01375816","FOLFIRI 1-Bevacizumab | fluorouracil | irinotecan hydrochloride | leucovorin calcium | liposome-encapsulated irinotecan hydrochloride PEP02 | Bevacizumab"
"NCT00538291","cetuximab | capecitabine"
"NCT00005833","R115777"
"NCT00007943","gemcitabine hydrochloride"
"NCT00473980","Indomethacin, celecoxib, esomeprazole"
"NCT01471353","Sorafenib Plus Capecitabine"
"NCT00062426","bevacizumab | capecitabine | fluorouracil | leucovorin calcium | oxaliplatin"
"NCT01305980","SB injection"
"NCT00129870","oxaliplatin"
"NCT00052507","bortezomib"
"NCT00640081","cetuximab | capecitabine | fluorouracil | leucovorin calcium | oxaliplatin"
"NCT01322152","irinotecan, capecitabine"
"NCT02228785","G17DT"
"NCT00188305",""
"NCT02512172","Oral CC - 486 | Romidepsin | MK - 3475"
"NCT02129257","AFLIBERCEPT | Irinotecan | 5-Fluorouracil | Folinic Acid"
"NCT00467142","bevacizumab | fluorouracil | irinotecan hydrochloride | leucovorin calcium"
"NCT00005864","chloroquinoxaline sulfonamide"
"NCT00230646",""
"NCT00005085","becatecarin"
"NCT00182715","cetuximab | capecitabine | fluorouracil | leucovorin calcium | oxaliplatin"
"NCT00268463","capecitabine | floxuridine | oxaliplatin"
"NCT00003544","irinotecan hydrochloride"
"NCT01955837","TAS-102 | Placebo"
"NCT00005616",""
"NCT02204332","Cabazitaxel"
"NCT00111761","Irinotecan | Panitumumab | 5-Fluorouracil | Leucovorin"
"NCT00720512","bevacizumab | fluorouracil | irinotecan hydrochloride | leucovorin calcium | oxaliplatin"
"NCT02848443","Trifluridine/tipiracil hydrochloride | Oxaliplatin | Bevacizumab"
"NCT00311610","SN-38 liposome"
"NCT01811108",""
"NCT00003441","Irofulven"
"NCT00203411","Capecitabine | Bevacizumab"
"NCT01668498","Erythromycin | Doxycycline"
"NCT00467129",""
"NCT00325871",""
"NCT02316340","Vorinostat | Hydroxychloroquine | Regorafenib"
"NCT00028015","SarCNU"
"NCT00286000","Administration of high dose simplified folfiri"
"NCT00389870","panitumumab | cyclosporine | irinotecan hydrochloride"
"NCT02873455",""
"NCT01679327","Oxaliplatin | Xeloda | Calcium folinate | 5-FU | Bevacizumab"
"NCT02869269",""
"NCT02718430","VXM01"
"NCT02300922","Antibody TF2 | 90-Y-IMP-288 | 111-In-IMP-288"
"NCT00062023","Acetylsalicylic acid | Sulindac | Ursodiol"
"NCT02567331","Capecitabine"
"NCT01775644",""
"NCT01568151",""
"NCT02630420","cetuximab and savolitinib"
"NCT01832948","Endostar | Oxaliplatin | Folinic acid | 5-FU"
"NCT01674907",""
"NCT02785146","Huaier Granule | Oxaliplatin | Calcium folinate | 5-fluorouracil"
"NCT00040820","oxaliplatin"
"NCT00022698","Capecitabine | Irinotecan"
"NCT02291289","Cetuximab | FOLFOX induction regimen | Fluoropyrimidine | MPDL3280A [TECENTRIQ] | Vemurafenib | bevacizumab"
"NCT01639326","Irinotecan high doses | Irinotecan standard doses"
"NCT01172860",""
"NCT02286492","TAS-102"
"NCT01215539","panitumumab"
"NCT00336141","Suberoylanilide hydroxamic acid"
"NCT01998009",""
"NCT02751892",""
"NCT00897754",""
"NCT00004860","leucovorin calcium | tegafur-uracil"
"NCT01801904","Panitumumab"
"NCT00955188",""
"NCT00932724","CY-503 | Placebo"
"NCT00003446","fluorouracil | leucovorin calcium | trimetrexate glucuronate"
"NCT00003254","ethynyluracil | fluorouracil"
"NCT01243372",""
"NCT00134589",""
"NCT01266564",""
"NCT00031616","brivudine phosphoramidate"
"NCT01144195","Panitumumab + FOLFIRI"
"NCT02497157","Oxaliplatin | Irinotecan hydrochloride hydrate | Continuous intravenous infusion of fluorouracil | Levofolinate calcium | Bevacizumab"
"NCT00003995","trastuzumab | irinotecan hydrochloride"
"NCT00569699","S-1, Bevacizumab"
"NCT01532804","bevacizumab, oxaliplatin and 5FU combination | Bevacizumab, oxaliplatin and raltitrexed combination"
"NCT00003786","irofulven"
"NCT00039611","FOLFOX regimen | fluorouracil | leucovorin calcium | oxaliplatin"
"NCT00048139","Irinotecan | capecitabine [Xeloda]"
"NCT00084721","celecoxib | irinotecan hydrochloride"
"NCT01609075",""
"NCT00721916","SOL | mFOLFOX6"
"NCT01097018","Capecitabine | Perifosine | Placebo"
"NCT00569790","S-1, Irinotecan, Bevacizumab"
"NCT00026364","fluorouracil | gefitinib | irinotecan hydrochloride | leucovorin calcium"
"NCT00048126","Irinotecan | capecitabine [Xeloda]"
"NCT01904630",""
"NCT00165217","Capecitabine | Thalidomide"
"NCT02726334","BNC101 Solution for Infusion | BNC101 in combination with FOLFIRI"
"NCT00258232","capecitabine | celecoxib | irinotecan hydrochloride"
"NCT02849106",""
"NCT00925015","dalotuzumab | Comparator: cetuximab | Comparator: irinotecan"
"NCT00027729","etaracizumab"
"NCT00559676","capecitabine | fluorouracil | irinotecan hydrochloride | leucovorin calcium | oxaliplatin"
"NCT00039208","fluorouracil | irinotecan hydrochloride | leucovorin calcium | oxaliplatin"
"NCT02594150",""
"NCT00004195","eniluracil"
"NCT00019591","aldesleukin | ras peptide cancer vaccine"
"NCT00081237","OSI-7904L | oxaliplatin"
"NCT01418222","5-FU | FOLFOX regimen | Placebo | bevacizumab [Avastin] | leucovorin | onartuzumab [MetMAb]"
"NCT01676714","Dovitinib"
"NCT02870582","Donafenib | Placebo"
"NCT00005877","rubitecan"
"NCT00003950","cyclosporine | CPT-11"
"NCT02223078","G17DT"
"NCT00030797","Irinotecan 70 mg/m2 | Irinotecan 240 mg/m2"
"NCT00091286","HER-2-neu, CEA peptides, GM-CSF, Montanide ISA-51 vaccine"
"NCT00005050","ethynyluracil | fluorouracil | oxaliplatin"
"NCT00072098","adenovirus vector | interleukin-12 gene"
"NCT01437618","FOLFOXIRI plus bevacizumab"
"NCT01623206","Desmopressin"
"NCT00450424",""
"NCT01930864","Metformin | Irinotecan"
"NCT01189942","OMP-21M18"
"NCT01064375","tetwtCEA DNA | GM-CSF | Cyclophosphamide"
"NCT00191984","pemetrexed | irinotecan"
"NCT02251977","GM1 | placebo | mFOLFOX6 or XELOX"
"NCT01696695",""
"NCT00083616","Panitumumab"
"NCT00851045","Irinotecan | 5-Fluorouracil | 5-Fluorouracil | Leucovorin calcium | CT-322 | Bevacizumab | Bevacizumab Placebo"
"NCT00844233",""
"NCT00006115","FOLFIRI regimen | FOLFOX regimen | fluorouracil | irinotecan hydrochloride | leucovorin calcium | oxaliplatin"
"NCT00004187","capecitabine | oxaliplatin"
"NCT00989469","Nexavar and irinotecan"
"NCT00055822","oblimersen sodium | fluorouracil | leucovorin calcium | oxaliplatin"
"NCT01319877",""
"NCT00220116","Capecitabine, Oxaliplatin"
"NCT00080951","fluorouracil | irinotecan hydrochloride | leucovorin calcium | oxaliplatin"
"NCT02564224",""
"NCT01159171","bevacizumab [Avastin] | capecitabine [Xeloda] | oxaliplatin"
"NCT01163396","Bevacizumab | Irinotecan | Oxaliplatin | 5-fluorouracil/leucovorin"
"NCT00003057","loperamide hydrochloride | octreotide acetate"
"NCT01321957","Oxaliplatin, 5FU/LV, Bevacizumab | 5FU/LV, Oxaliplatin, Bevacizumab, Irinotecan"
"NCT02110082","Urelumab | Cetuximab"
"NCT00252564","Bevacizumab | Oxaliplatin | Leucovorin | Fluorouracil | Cetuximab"
"NCT00974610",""
"NCT02624726","5 Fluorouracil | Leucovorin | Irinotecan | Aflibercept"
"NCT00119912",""
"NCT00087334","capecitabine | gefitinib | oxaliplatin"
"NCT00912327","Imprime PGG"
"NCT02388256",""
"NCT00535353","irinotecan hydrochloride | olaparib"
"NCT00002664","edrecolomab | sargramostim"
"NCT00077337","romidepsin"
"NCT00416494","bevacizumab | oxaliplatin | Capecitabine | Capecitabine"
"NCT00827684","Irinotecan | Temsirolimus"
"NCT02039635",""
"NCT00047762","Erlotinib | Bevacizumab"
"NCT02612077","Concomitant Bevacizumab"
"NCT00975897","bevacizumab | cetuximab | fluorouracil | irinotecan hydrochloride | leucovorin calcium | oxaliplatin"
"NCT02619435","regorafenib"
"NCT01803009",""
"NCT00004870","oblimersen sodium | irinotecan hydrochloride"
"NCT00550563",""
"NCT00433927","5-FU | folinic acid | irinotecan | cetuximab | bevacizumab"
"NCT02457390",""
"NCT00099346","MK0457, VX-680"
"NCT00098982","bortezomib | fluorouracil | leucovorin calcium | oxaliplatin"
"NCT01588990","FOLFIRI | XELOX | bevacizumab [Avastin] | bevacizumab [Avastin] | bevacizumab [Avastin] | mFOLFOX6"
"NCT00294359","Mitomycin C; Capecitabine; Bevacizumab"
"NCT02060669","Xeloda"
"NCT00967616","CS7017 | irinotecan, leucovorin, and 5-fluorouracil"
"NCT00305643","Capecitabine | Celecoxib | Placebo"
"NCT01060423","Cetuximab | Irinotecan"
"NCT01343901",""
"NCT02906059","AZD1775 | Irinotecan"
"NCT00508404","Panitumumab | FOLFIRI"
"NCT01493713",""
"NCT00459030",""
"NCT00748215","calcium aluminosilicate anti-diarrheal"
"NCT00008294","FOLFOX regimen | dexamethasone | floxuridine | fluorouracil | leucovorin calcium | oxaliplatin"
"NCT00408551","floxuridine | fluorouracil | irinotecan hydrochloride | leucovorin calcium | oxaliplatin"
"NCT02698462",""
"NCT00483080","NGR-hTNF"
"NCT01539824","Mycobacterium obuense"
"NCT01739608",""
"NCT00700570","bevacizumab [Avastin] | capecitabine [Xeloda] | oxaliplatin"
"NCT00025142","FOLFOX regimen | fluorouracil | gefitinib | leucovorin calcium | oxaliplatin"
"NCT01847495","Irinotecan"
"NCT01328171","FOLFOXIRI + Panitumumab | FOLFOXIRI"
"NCT02057991",""
"NCT02456285",""
"NCT02386826","INC280 | bevacizumab"
"NCT01051167","Cetuximab"
"NCT00075595","FOLFIRI regimen | fluorouracil | irinotecan hydrochloride | leucovorin calcium"
"NCT02045030","aflibercept + FOLFIRI"
"NCT00089401","isolated perfusion | melphalan"
"NCT00217711","Capecitabine | irinotecan hydrochloride | oxaliplatin"
"NCT01135498","bevacizumab [Avastin] | eloxatin | capecitabine [Xeloda] | erlotinib [Tarceva]"
"NCT00484939","Bevacizumab | Capecitabine"
"NCT01288339","Panitumumab + FOLFOX | Panitumumab + FOLFOX"
"NCT02005913",""
"NCT01712347","Bevacizumab | Chemotherapy"
"NCT00458809","oxaliplatin"
"NCT01676922",""
"NCT00002796","fluorouracil | sodium phenylbutyrate | indomethacin | recombinant interferon gamma"
"NCT00118261","bevacizumab | erlotinib hydrochloride | fluorouracil | leucovorin calcium | oxaliplatin"
"NCT01110785","panitumumab | simvastatin"
"NCT00454116","Vandetanib | FOLFIRI"
"NCT01099826",""
"NCT00066274","FOLFIRI regimen | FOLFOX regimen | fluorouracil | irinotecan hydrochloride | leucovorin calcium | oxaliplatin"
"NCT00559741","cetuximab | fluorouracil | irinotecan hydrochloride | leucovorin calcium"
"NCT01190462","cetuximab | simvastatin"
"NCT01277120",""
"NCT00290615","bevacizumab | cetuximab | capecitabine | oxaliplatin"
"NCT00719797","bevacizumab | fluorouracil | irinotecan hydrochloride | leucovorin calcium | oxaliplatin"
"NCT00588900","cediranib maleate | irinotecan hydrochloride"
"NCT00899210",""
"NCT00577109","bevacizumab [Avastin] | Irinotecan | Leucovorin | 5 FU | Cetuximab"
"NCT00897819",""
"NCT02173990","Aflibercept-FOLFIRI"
"NCT00268333","fluorouracil | leucovorin calcium | oxaliplatin"
"NCT00003753","dexamethasone | floxuridine | irinotecan hydrochloride"
"NCT00707889","ABT-869 | bevacizumab | oxaliplatin | folinic acid | fluorouracil | ABT-869"
"NCT00265824","bevacizumab | bevacizumab, erlotinib"
"NCT01326000","FOLFIRI | RO5083945 | cetuximab"
"NCT00628810","bevacizumab | fluorouracil | irinotecan hydrochloride | leucovorin calcium"
"NCT02831842","Anti-EGFR-Containing Regimen | Bevacizumab-containing regimen | Chemotherapy"
"NCT00103298","FOLFOX regimen | fluorouracil | isolated perfusion | leucovorin calcium | melphalan | oxaliplatin"
"NCT00778102","5-FU | 5-FU | 5-FU | Irinotecan | Leucovorin | Leucovorin | Oxaliplatin | bevacizumab [Avastin]"
"NCT00343408","cediranib maleate | cisplatin | fluorouracil | gemcitabine hydrochloride | leucovorin calcium | oxaliplatin"
"NCT00069108","5 FU | Leucovorin | Oxaliplatin | Oxaliplatin | capecitabine [Xeloda]"
"NCT00974389","bevacizumab | tegafur-gimeracil-oteracil potassium"
"NCT00890188","THALIDOMIDE and UFUR"
"NCT00496704","capecitabine | gemcitabine hydrochloride | oxaliplatin"
"NCT02448810","BAX69 + infusional 5-FU/LV | BAX69 + panitumumab | BAX69 + 5-FU/LV | BAX69 + panitumumab | Standard of Care | Standard of Care"
"NCT01363739",""
"NCT00327457",""
"NCT01022541","Capecitabine | Oxaliplatin | Bevacizumab"
"NCT01274624","REOLYSIN® | Irinotecan | Leucovorin | Fluorouracil | Bevacizumab"
"NCT00556413","cetuximab | fluorouracil | irinotecan hydrochloride | leucovorin calcium | oxaliplatin"
"NCT02409472",""
"NCT02743221","Trifluridine/tipiracil hydrochloride | Capecitabine | Bevacizumab | Bevacizumab"
"NCT01691391",""
"NCT00004087","filgrastim"
"NCT01733628",""
"NCT02777710","Pexidartinib | Durvalumab"
"NCT00118755","capecitabine | Oxaliplatin | bevacizumab | capecitabine | Oxaliplatin | bevacizumab"
"NCT01591421","BKM120 | Panitumumab"
"NCT00069095","Oxaliplatin 130 mg/m^2 | Capecitabine 1000 mg/m^2 | Bevacizumab 7.5 mg/kg | Placebo for bevacizumab 7.5 mg/kg | Oxaliplatin 85 mg/m^2 | Leucovorin 200 mg/m^2 | Fluorouracil 400 mg/m^2 | Bevacizumab 5 mg/kg | Placebo for bevacizumab 5 mg/kg"
"NCT00602329","bevacizumab | fluorouracil | leucovorin calcium | oxaliplatin"
"NCT00700102","Chemotherapy | Bevacizumab"
"NCT01791140",""
"NCT01695772","5-FU based doublet chemotherapy | bevacizumab"
"NCT00063960","floxuridine | irinotecan hydrochloride"
"NCT00544349","cetuximab | fluorouracil | leucovorin calcium | oxaliplatin"
"NCT00642603","capecitabine [Xeloda] | capecitabine [Xeloda] | bevacizumab [Avastin] | oxaliplatin | irinotecan"
"NCT01533740","fluorouracil/irinotecan/levo-folinic acid/bevacizumab"
"NCT01903395",""
"NCT00497497","bevacizumab | cetuximab | FOLFIRI regimen | irinotecan | PRO95780"
"NCT00066846","bevacizumab | fluorouracil | leucovorin calcium"
"NCT00642577","bevacizumab [Avastin] | irinotecan | leucovorin | fluorouracil"
"NCT01792934","XELOX regimen according to standard procedures | FOLFOX regimen according to standard procedures | Bevacizumab"
"NCT01632722","Bevacizumab, mFOLFOX, FOLFIRI | Bevacizumab, mFOLFOX, FOLFIRI"
"NCT00436514",""
"NCT01077739","fluorouracil | leucovorin | bevacizumab [Avastin] | capecitabine [Xeloda] | oxaliplatin"
"NCT00072748","EKB-569"
"NCT00312000","capecitabine-irinotecan | capecitabine+irinotecan"
"NCT00659022","neo-adjuvant treatment with bevacizumab | neoadjuvant treatment with capecitabine and oxaliplatin | neo-adjuvant treatment with bevacizumab, capecitabine and oxaliplatin"
"NCT00492999","dexamethasone | floxuridine | fluorouracil | irinotecan hydrochloride | leucovorin calcium | oxaliplatin"
"NCT00571740","bevacizumab | cetuximab | fluorouracil | leucovorin calcium | oxaliplatin"
"NCT00059930","FOLFOX regimen | dexamethasone | floxuridine | fluorouracil | leucovorin calcium | oxaliplatin"
"NCT00655499","panitumumab | irinotecan hydrochloride"
"NCT00478634","RAD001, Cetuximab, Irinotecan"
"NCT02141295","5-fluorouracil | RO5520985 | bevacizumab [Avastin] | folinic acid | oxaliplatin"
"NCT01412957","Panitumumab"
"NCT01571284","AFLIBERCEPT AVE0005 | FOLFIRI"
"NCT00494221","AZD2171 | FOLFOX | Placebo Cediranib"
"NCT02316496","cetuximab | Irinotecan"
"NCT02909478","Aprepitant+Tropisetron | Dexamethasone+Tropisetron"
"NCT00853931","Panitumumab"
"NCT01628211","Folinic Acid | 5-Fluorouracil | Oxaliplatin | systemic chemotherapy"
"NCT00954876","capecitabine and cetuximab"
"NCT01863303",""
"NCT01821105",""
"NCT02453464","Sevacizumab | Irinotecan | 5-FU | Leucovorin"
"NCT02026583","Simvastatin"
"NCT01399684","5-Fluorouracil | Bevacizumab | Folinic acid | MEGF0444A | Oxaliplatin | Placebo"
"NCT00438737","bevacizumab | cetuximab | fluorouracil | leucovorin calcium | oxaliplatin"
"NCT00107250","capecitabine | carboplatin | cediranib maleate | paclitaxel"
"NCT01661270","Aflibercept | Placebo"
"NCT01348412","oxaliplatin | raltitrexed | other intravenous chemotherapy drugs"
"NCT01763450","bevacizumab plus chemotherapy"
"NCT00111774","ABX-EGF"
"NCT01074333","Cetuximab"
"NCT01126840",""
"NCT02821559","TOMOX | Bevacizumab"
"NCT00419159","Everolimus"
"NCT00895323",""
"NCT02615574","αDC1 vaccine | CKM"
"NCT01619423","PledOx | PledOx | Placebo"
"NCT01409005","Gemcitabine and UFTE chemotherapy"
"NCT00381862","aprepitant | dexamethasone | fluorouracil | irinotecan hydrochloride | leucovorin calcium | oxaliplatin | palonosetron hydrochloride"
"NCT01963182","Irinotecan"
"NCT01955629","Aflibercept AVE0005 | Oxaliplatin | Capecitabine"
"NCT00961571","sunitinib and capecitabine"
"NCT01550510","Vitamin C"
"NCT02301962","Panitumumab"
"NCT01394939","JX-594 | Irinotecan"
"NCT02469480","FerInject | Ferro sanol"
"NCT01664494","Capecitabine"
"NCT01057953",""
"NCT01878422","Arm A: FOLFIRI or FOLFOX + Bevacizumab | Arm B: FOLFIRI or FOLFOX | Arm D: FOLFIRI or FOLFOX plus CETUXIMAB | Arm F: FOLFIRI or FOLFOX plus BEVACIZUMAB and CETUXIMAB"
"NCT01139242",""
"NCT02248805","MGD007"
"NCT02015923","Chemotherapy- scheme"
"NCT00778830","Cetuximab | FOLFIRI | FOLFOX"
"NCT01862003","AZD8931 | Irinotecan | Folinic Acid | Fluorouracil | Fluorouracil"
"NCT01765582","5-fluorouracil | bevacizumab [Avastin] | capecitabine [Xeloda] | fluoropyrimidine-based chemotherapy | irinotecan | leucovorin | oxaliplatin"
"NCT02623621","chemotherapy plus bevacizumab"
"NCT02843217",""
"NCT02704988",""
"NCT02024412","monosialotetrahexosylganglioside Sodium"
"NCT00647153",""
"NCT00711672",""
"NCT02529774","Floxuridine,Dexamethasone, Heparin in combination with Oxaliplatin and Capecitabine or in combination with Oxaliplatin and Leucovorin and 5-FU | Oxaliplatin and Capecitabine or Oxaliplatin and Leucovorin and 5-FU"
"NCT01896856","SGI-110 | Irinotecan | regorafenib | TAS-102"
"NCT01949194","Regorafenib"
"NCT02600949","Peptide Vaccine"
"NCT02904031","5-fluorouracil | oxaliplatin | l-leucovorin | panitumumab"
"NCT02401802",""
"NCT00030524","gefitinib"
"NCT01831310",""
"NCT01460745",""
"NCT00002933","irinotecan hydrochloride"
"NCT00044863","Erbitux"
"NCT02054598",""
"NCT01767857","Xilonix | Placebo"
"NCT02291198",""
"NCT01262417",""
"NCT00893503",""
"NCT00617071",""
"NCT01819766",""
"NCT02523911","Simethicone | Placebo | sodium sulfate/potassium sulfate/magnesium sulfate solution"
"NCT01923337","irinotecan hydrochloride | alisertib"
"NCT00005882","eflornithine plus sulindac"
"NCT00705731",""
"NCT01929421","Gemcitabine/S-1"
"NCT00012389","irinotecan hydrochloride | oxaliplatin"
"NCT00008281","FOLFOX regimen | fluorouracil | leucovorin calcium | oxaliplatin"
"NCT00026299","ZD1839 | oxaliplatin"
"NCT00437268","enzastaurin | irinotecan | cetuximab"
"NCT00056459","Vatalanib"
"NCT02521727",""
"NCT02412683",""
"NCT01722162","Bevacizumab | Capecitabine | Levocetirizine"
"NCT01836653","Bevacizumab | Cetuximab | L-OHP | l-LV | 5-FU | 5-FU"
"NCT00056446","Vatalanib"
"NCT02748811",""
"NCT01152437","BIBW 2992 | Cetuximab"
"NCT01902849",""
"NCT01157039",""
"NCT02642978",""
"NCT01220999","111In-CS-1008, CS-1008"
"NCT02866344",""
"NCT02347852","Regorafenib"
"NCT00065117","ZD6126 | Placebo | 5-fluorouracil | leucovorin | oxaliplatin"
"NCT01880658","Capecitabine"
"NCT02652663",""
"NCT01048463","Nutriall | LDEPA | Placebo | HDEPA | Chemotherapy"
"NCT00313859","simvastatin"
"NCT01843400","BAY73-4506_Regorafenib"
"NCT00311272","MelCancerVac"
"NCT01906008","Minocycline | Placebo"
"NCT02216487","HA-Irinotecan"
"NCT00594529",""
"NCT01384994","Folic Acid | 5-FU | 5-FU | Oxaliplatin | Panitumumab | Panitumumab | Folic Acid | 5-FU | 5-FU | Oxaliplatin"
"NCT00070122","oxaliplatin | leucovorin calcium | capecitabine | bevacizumab | fluorouracil"
"NCT00677586",""
"NCT00843375",""
"NCT00920868","dasatinib | bevacizumab | Oxaliplatin | Capecitabine"
"NCT00387387","pazopanib"
"NCT01842971",""
"NCT01703390","FOLFIRI + Cetuximab | modifiedFOLFOX6 + Cetuximab"
"NCT01766479",""
"NCT00640471","cetuximab | brivanib alaninate"
"NCT00037180","Celecoxib | Irinotecan | 5-fluorouracil | Leucovorin"
