"drug.name","targets","pathways"
"Metoprolol  |  (RS)-Metoprolol | 1-(isopropylamino)-3-[4-(2-methoxyethyl)phenoxy]propan-2-ol | DL-metoprolol | Metoprolol slow release","ADRB1 | ADRB2",""
"Dicoumarol  |  3,3'-Methylen-bis(4-hydroxy-cumarin) | 3,3'-Methylene-bis(4-hydroxycoumarine) | 3,3'-Methylenebis(4-hydroxy-1,2-benzopyrone) | 3,3'-Methylenebis(4-hydroxy-2H-1-benzopyran-2-one) | 3,3'-Methylenebis(4-hydroxycoumarin) | bis-3,3'-(4-hydroxycoumarinyl)methane | bis-hydroxycoumarin | Bis(4-hydroxycoumarin-3-yl)methane | di-(4-hydroxy-3-coumarinyl)methane | Dicoumarol | Dicoumarolum | Dicumarol","VKORC1 | NQO1 | CRYZ",""
"Cefmenoxime  |  (6R,7R)-7-((Z)-2-(2-Amino-4-thiazolyl)-2-methoxyiminoacetamido)-3-((1-methyl-1H-5-tetraazolylthio)methyl)-8-oxo-5-thia-1-azabicyclo(4.2.0)oct-2-en-2-carbonsaeure | (6R,7R)-7-[[(2e)-2-(2-amino-1,3-Thiazol-4-yl)-2-methoxyiminoacetyl]amino]-3-[(1-methyltetrazol-5-yl)sulfanylmethyl]-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid (iupac) | Cefmenoxima | Cefmenoximum","pbpA | ftsI",""
"Ropinirole  |  Ropinirol | Ropinirole | Ropinirolum","DRD1 | DRD5 | ADRA2A | HTR1A | ADRA2C | DRD4 | HTR2B | HTR2A | HTR2C | ADRA2B | DRD3 | HTR1D | DRD2 | HTR1B",""
"Chlorotrianisene  |  Chloortrianisestrol | Chlorestrolo | Chlorotrianisenum | Chlorotrianisine | Chlorotrianizen | Chlortrianisen | Chlortrianisestrol | Chlortrianisoestrolum | Chlortrianizen | Clorotrianiseno","ESR1",""
"Isradipine  |  Dynacirc | Isradipino | Isradipinum","CACNA1C | CACNA2D1 | CACNA1H | CACNB2 | CACNA1S | CACNA1D | CACNA2D2",""
"Betazole  |  1H-pyrazole-3-ethanamine | 2-(1H-Pyrazol-5-yl)ethanamine | 2-(3-Pyrazolyl)ethylamine | 3-(2-Aminoethyl)pyrazole | 3-(beta-aminoethyl)pyrazole | 3-(β-aminoethyl)pyrazole | Ametazole | Betazol | Betazolum","HRH2",""
"Topiramate  |  2,3:4,5-Bis-O-(1-methylethylidene)-beta-D-fructopyranose sulfamate | 2,3:4,5-Di-O-isopropylidene-beta-D-fructopyranose sulfamate | McN-4853 | RWJ-17021 | Tipiramate | Tipiramato | Topamax | Topiramate | Topiramato | Topiramatum | TPM","SCN1A | CA2 | GRIK1 | CA4 | GABRA1 | GABRA1 | GABRA2 | GABRA3 | GABRA4 | GABRA5 | GABRA6 | GABRB1 | GABRB2 | GABRB3 | GABRD | GABRE | GABRG1 | GABRG2 | GABRG3 | GABRP | GABRQ",""
"Cefmetazole  |  (6R,7S)-7-({[(cyanomethyl)sulfanyl]acetyl}amino)-7-methoxy-3-{[(1-methyl-1H-tetrazol-5-yl)sulfanyl]methyl}-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid | Cefmetazolo | Cefmetazolum","mrcB | mrcA | dacA | ftsI | mecA | dacC",""
"Olmesartan  |  4-(1-hydroxy-1-methylethyl)-2-propyl-1-{[2'-(1H-tetrazol-5-yl)biphenyl-4-yl]methyl}-1H-imidazole-5-carboxylic acid | 4-(hydroxy-1-methylethyl)-2-propyl-1-{[2'-(1H-tetrazol-5-yl)-1,1'-biphenyl-4-yl]methyl}-1H-imidazole-5-carboxylic acid","AGTR1",""
"Amsacrine  |  4'-(9-Acridinylamino)-3'-methoxymethanesulfonanilide | 4'-(9-Acridinylamino)methanesulfon-m-anisidide | 4'-(9-Acridinylamino)methanesulfon-meta-anisidide | 4'-(9-Acridinylamino)methanesulphon-m-anisidide | Acridinyl anisidide | Amsacrine | m-AMSA | mAMSA","KCNH2 | TOP2A",""
"Theophylline  |  1,3-dimethyl-7H-purine-2,6-dione | 1,3-dimethylxanthine | Theophyllin | Theophylline anhydrous | Theophylline, anhydrous","ADORA1 | PDE5A | ADORA2B | PDE3A | PDE4B | ADORA2A | PDE4A | HDAC2",""
"Argatroban  |  NA","F2",""
"Liothyronine  |  3,3',5-triiodo-L-thyronine | 3,5,3'-Triiodo-L-thyronine | 3,5,3'-Triiodothyronine | 3,5,3'TRIIODOTHYRONINE | 4-(4-Hydroxy-3-iodophenoxy)-3,5-diiodo-L-phenylalanine | L-3,5,3'-Triiodothyronine | L-T3 | Liothyronine | Liothyroninum | Liotironina | O-(4-hydroxy-3-iodophenyl)-3,5-diiodo-L-tyrosine | T3 | Tertroxin | Tresitope | Triiodothyronine","THRB | THRA",""
"Disopyramide  |  Disopiramida | Disopyramidum","CHRM3 | CHRM1 | SCN5A | CHRM2 | KCND2 | KCND3",""
"Lidocaine  |  2-(Diethylamino)-2',6'-acetoxylidide | 2-(Diethylamino)-N-(2,6-dimethylphenyl)acetamide | alpha-diethylamino-2,6-dimethylacetanilide | Lignocaine | α-diethylamino-2,6-dimethylacetanilide","SCN10A | SCN5A | EGFR | SCN9A","EGFR signaling | EGFR signaling | chromain  histone acetylation | EGFR signaling | EGFR signaling | EGFR signaling | EGFR signaling | EGFR signaling | EGFR signaling"
"Pamidronate  |  Acide pamidronique | Acido pamidronico | Acidum pamidronicum | Pamidronic acid | Ribodroat","FDPS",""
"Clemastine  |  (+)-(2R)-2-(2-(((R)-P-chloro-alpha-Methyl-alpha-phenylbenzyl)oxy)ethyl)-1-methylpyrrolidine | (+)-(2R)-2-[2-[[(R)-P-chloro-alpha-Methyl-alpha-phenylbenzyl]oxy]ethyl]-1-methylpyrrolidine | Clemastina | Clemastine | Clemastinum | Meclastin","HRH1",""
"Acarbose  |  Acarbosa | Acarbose | Acarbosum | Glucobay | Precose","MGAM | GAA | SI | AMY2A",""
"Venlafaxine  |  Elafax | Venlafaxina | Venlafaxine | Venlafaxinum","SLC6A2 | SLC6A3 | SLC6A4",""
"Conjugated Estrogens  |  17-Oxoestra-1,3,5(10)-trien-3-yl sodium sulfate | Conestoral | Estrogenic substances (conjugated) | Estrogens | Estrogens, Conjugated | Estrone sodium sulfate | Estrone sulfate sodium | Estrone-3-sulfate sodium salt | Evex | Hyhorin | Morestin | Oestrone-3-sulphate sodium salt | Premarin | Sodium estrone 3-sulfate","ESR1",""
"Travoprost  |  Isopropyl (Z)-7-((1R,2R,3R,5S)-3,5-dihydroxy-2-{(1e,3R)-3-hydroxy-4-[(alpha,alpha,alpha-trifluoro-m-tolyl)oxy]-1-butenyl}cyclopentyl)-5-heptenoate | Travatan | Travatan Z | Travoprost | Travoprostum","PTGFR",""
"Amcinonide  |  Amcinonida | Amcinonidum | Triamcinolonacetatcyclopentanonid","ANXA1 | NR3C1",""
"Atomoxetine  |  (-)-Tomoxetine | Tomoxetina | Tomoxetine | Tomoxetinum","SLC6A2 | SLC6A3 | SLC6A4 | GRIN1 | GRIN2A | GRIN2B | GRIN2C | GRIN2D | GRIN3A | GRIN3B",""
"Bleomycin  |  Bleocin | Bleomicin | Bleomicina | Bleomycin A2 | Bleomycine | Bleomycinum | BLM","LIG3 | LIG1",""
"Etomidate  |  (+)-Ethyl 1-(alpha-methylbenzyl)imidazole-5-carboxylate | (+)-ethyl 1-(α-methylbenzyl)imidazole-5-carboxylate | (+)-etomidate | (R)-(+)-1-(alpha-Methylbenzyl)imidazole-5-carboxylic acid ethyl ester | (R)-1-(1-phenylethyl)-1H-imidazole-5-carboxylic acid ethyl ester | 3-((R)-1-Phenyl-ethyl)-3H-imidazole-4-carboxylic acid ethyl ester | Etomidate | Etomidato | Etomidatum | R-(+)-Ethyl 1-(1-phenylethyl)-1H-imidazole-5-carboxylate","ADRA2B | GABRA1 | GABRA1 | GABRA2 | GABRA3 | GABRA4 | GABRA5 | GABRA6 | GABRB1 | GABRB2 | GABRB3 | GABRD | GABRE | GABRG1 | GABRG2 | GABRG3 | GABRP | GABRQ",""
"Raltitrexed  |  Raltitrexed | Tomudex | ZD1694","TYMS | FPGS",""
"Etonogestrel  |  3-Ketodesogestrel | 3-Oxodesogestrel | Etonogestrelum | Implanon","ESR1 | PGR",""
"Morphine  |  (-)-Morphine | (−)-morphine | (5alpha,6alpha)-17-Methyl-7,8-didehydro-4,5-epoxymorphinan-3,6-diol | (5alpha,6alpha)-Didehydro-4,5-epoxy-17-methylmorphinan-3,6-diol | (5R,6S,9R,13S,14R)-4,5-Epoxy-N-methyl-7-morphinen-3,6-diol | (7R,7AS,12bs)-3-methyl-2,3,4,4a,7,7a-hexahydro-1H-4,12-methano[1]benzofuro[3,2-e]isoquinoline-7,9-diol | Morfina | Morphia | Morphin | Morphine | Morphinum | Morphium","OPRD1 | OPRK1 | OPRM1",""
"Ropivacaine  |  (S)-(−)-1-propyl-2',6'-pipecoloxylidide | (S)-ropivacaine | L-N-n-propylpipecolic acid-2,6-xylidide | Ropivacaina | Ropivacaine | Ropivacainum","SCN10A",""
"Bupivacaine  |  (±)-bupivacaine | (RS)-bupivacaine | 1-Butyl-2',6'-pipecoloxylidide | 1-Butyl-N-(2,6-dimethylphenyl)-2-piperidinecarboxamide | Bupivacaina | Bupivacainum | dl-1-Butyl-2',6'-pipecoloxylidide | DL-Bupivacaine | racemic bupivacaine","PTGER1 | SCN10A",""
"Dapiprazole  |  5,6,7,8-Tetrahydro-3-(2-(4-(O-tolyl)-1-piperazinyl)ethyl)-S-triazolo(4,3-a)pyridine | Dapiprazol | Dapiprazolum","ADRA1A | ADRA1B | ADRA1D",""
"Penciclovir  |  9-(4-hydroxy-3-(hydroxymethyl)butyl)guanine | 9-(4-hydroxy-3-hydroxymethylbut-1-yl)-guanine | 9-[2-hydroxy-1-(hydroxymethyl)-ethoxymethyl]guanine | 9-[4-hydroxy-3-(hydroxymethyl)but-1-yl]guanine | PCV | PE2 | Penciclovirum"," | TK",""
"Tenofovir  |  (R)-9-(2-phosphonomethoxypropyl)adenine | (R)-PMPA | Anh. tenofovir | Anhydrous tenofovir | Tenofovir | Tenofovir (anh.)","pol",""
"Flucloxacillin  |  (2S,5R,6R)-6-({[3-(2-chloro-6-fluorophenyl)-5-methyl-1,2-oxazol-4-yl]carbonyl}amino)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid | 3-(2-Chloro-6-fluorophenyl)-5-methyl-4-isoxazolylpenicillin | Floxacillin | Floxapen | Flucloxacilina | Flucloxacillin | Flucloxacilline | Flucloxacillinum","pbpA",""
"Tranexamic Acid  |  Acide tranexamique | Acido tranexamico | Acidum tranexamicum | Cyklokapron | Tranexamsaeure | Tranexmic acid | Tranhexamic acid | Trans AMCHA | trans-4-(Aminomethyl)cyclohexanecarboxylic acid | trans-4-aminomethylcyclohexane-1-carboxylic acid | trans-Amcha | trans-Tranexamic acid","PLG",""
"Ertapenem  |  (1R,5S,6S,8R,2'S,4's)-2-(2-(3-carboxyphenylcarbamoyl)pyrrolidin-4-ylthio)-6-(1-hydroxyethyl)-1-methylcarbapenem-3-carboxylic acid | (4R,5S,6S)-3-((3S,5S)-5-((3-Carboxyphenyl)carbamoyl)pyrrolidin-3-ylthio)-6-((R)-1-hydroxyethyl)-4-methyl-7-oxo-1-aza-bicyclo[3.2.0]hept-2-ene-2-carboxylic acid | ERTAPENEM","ftsI | mrdA | mrcB | mrcA | dacB | ftsI | mrdA | dacC",""
"Desogestrel  |  13-Ethyl-11-methylene-18,19-dinor-17alpha-pregn-4-en-20-yn-17-ol | Cerazette | Desogestrelum","ESR1 | PGR",""
"Talbutal  |  (RS)-5-allyl-5-sec-butylpyrimidine-2,4,6(1H,3H,5H)-trione | 5-allyl-5-sec-butylbarbituric acid | Lotusate | sec-Butyl allyl barbituric acid | Talbutale | Talbutalum","GABRA2 | GABRA5 | GABRA4 | GABRA3 | GABRA6 | GABRA1 | GRIK2 | GRIA2 | CHRNA4 | CHRNA7 | GABRA1 | GABRA2 | GABRA3 | GABRA4 | GABRA5 | GABRA6 | GABRB1 | GABRB2 | GABRB3 | GABRD | GABRE | GABRG1 | GABRG2 | GABRG3 | GABRP | GABRQ",""
"Bexarotene  |  4-[1-(3,5,5,8,8-pentamethyltetralin-2-yl)ethenyl]benzoic acid | 4-[1-(5,6,7,8,-Tetrahydro-3,5,5,8,8-pentamethyl-2-naphtalenyl)ethenyl]benzoic acid | Bexaroten | Bexarotène | Bexarotene | Bexaroteno | Bexarotenum | P-(1-(5,6,7,8-Tetrahydro-3,5,5,8,8-pentamethyl-2-naphthyl)vinyl)benzoic acid | p-[1-(5,6,7,8,-Tetrahydro-3,5,5,8,8-pentamethyl-2-naphthyl)vinyl]benzoic acid | Targretyn | Targrexin","RXRB | RXRA | RXRG",""
"Ibutilide  |  Ibutilid | Ibutilida | Ibutilide | Ibutilidum | N-(4-{4-[ethyl(heptyl)amino]-1-hydroxybutyl}phenyl)methanesulfonamide","KCNH2 | KCNK1 | CACNB1 | CACNA1C | KCNH6 | CACNG1 | KCNK6 | CACNA2D1 | KCNH7 | KCNJ11",""
"Vindesine  |  3-(Aminocarbonyl)-O(4)-deacetyl-3-de(methoxycarbonyl)vincaleukoblastine | 3-Carbamoyl-4-deacetyl-3-de(methoxycarbonyl)vincaleukoblastine | Desacetylvinblastine amide","TUBB1",""
"Chlorthalidone  |  1-keto-3-(3'-Sulfamyl-4'-chlorophenyl)-3-hydroxyisoindoline | 1-oxo-3-(3-Sulfamyl-4-chlorophenyl)-3-hydroxyisoindoline | 2-chloro-5-(1-Hydroxy-3-oxo-1-isoindolinyl)benzenesulfonamide | 2-chloro-5-(2,3-dihydro-1-Hydroxy-3-oxo-1H-isoindol-1-yl)benzenesulfonamide | 3-(4'-chloro-3'-Sulfamoylphenyl)-3-hydroxyphthalimidine | 3-Hydroxy-3-(4-chloro-3-sulfamylphenyl)phthalimidine | Chlorphthalidolone | Chlortalidone | Chlorthalidone | Phthalamodine | Phthalamudine","SLC12A1",""
"Ethoxzolamide  |  6-Ethoxy-1,3-benzothiazole-2-sulfonamide | Ethoxazolamide | Ethoxyzolamide","CA1 | CA2 | CA4 | CA7",""
"Pentobarbital  |  5-Ethyl-5-(1-methyl-butyl)-pyrimidine-2,4,6-trione | 5-Ethyl-5-(1-methylbutyl)-2,4,6(1H,3H,5H)-pyrimidinetrione | 5-ethyl-5-(1-methylbutyl)barbituric acid | 5-ethyl-5-(sec-pentyl)barbituric acid | Nembutal | Pentobarbital | Pentobarbitone","GABRA2 | GABRA5 | GABRA4 | GABRA3 | GABRA6 | GABRA1 | GRIK2 | GRIA2 | CHRNA4 | CHRNA7 | GABRA1 | GABRA2 | GABRA3 | GABRA4 | GABRA5 | GABRA6 | GABRB1 | GABRB2 | GABRB3 | GABRD | GABRE | GABRG1 | GABRG2 | GABRG3 | GABRP | GABRQ | GRIN1 | GRIN2A | GRIN2B | GRIN2C | GRIN2D | GRIN3A | GRIN3B",""
"Valproic Acid  |  2-n-propyl-n-valeric acid | 2-propyl-pentanoic acid | 2-Propylpentanoic Acid | 2-Propylvaleric Acid | 4-heptanecarboxylic acid | acide valproïque | ácido valproico | acidum valproicum | di-n-propylacetic acid | Di-n-propylessigsäure | Dipropylacetic acid | DPA | n-DPA | Valproate | Valproinsäure | VPA","ALDH5A1 | OGDH | ABAT | ACADSB | HDAC9 | HDAC2 | SCN1A | SCN10A | SCN11A | SCN2A | SCN3A | SCN4A | SCN5A | SCN7A | SCN8A | SCN9A | SCN1B | SCN2B | SCN3B | SCN4B",""
"Zolmitriptan  |  (S)-4-({3-[2-(dimethylamino)ethyl]-1H-indol-5-yl}methyl)-1,3-oxazolidin-2-one | 311C90 | 4-[[3-(2-Dimethylaminoethyl)-1H-indol-5-yl]methyl]oxazolidin-2-one | Zolmitriptan | Zolmitriptanum | Zomig","HTR1A | HTR1F | HTR1D | HTR1B",""
"Acetaminophen  |  4-(Acetylamino)phenol | 4-acetamidophenol | 4'-hydroxyacetanilide | Acenol | Acetaminofen | Acetaminophen | Acetaminophene | APAP | N-acetyl-p-aminophenol | p-acetamidophenol | p-acetaminophenol | p-Acetylaminophenol | p-hydroxyacetanilide | p-hydroxyphenolacetamide | Panadol | Paracetamol | Paracetamolum | Tylenol","PTGS1 | PTGS2",""
"Gefitinib  |  4-(3'-chloro-4'-Fluoroanilino)-7-methoxy-6-(3-morpholinopropoxy)quinazoline | Gefitinib | Iressa | N-(3-chloro-4-Fluorophenyl)-7-methoxy-6-(3-(4-morpholinyl)propoxy)-4-quinazolinamine | ZD 1839","EGFR","EGFR signaling | EGFR signaling | chromain  histone acetylation | EGFR signaling | EGFR signaling | EGFR signaling | EGFR signaling | EGFR signaling | EGFR signaling"
"Codeine  |  (−)-Codeine | (5alpha,6alpha)-7,8-Didehydro-4,5-epoxy-3-methoxy-17-methylmorphinan-6-ol | (5α,6α)-7,8-didehydro-4,5-epoxy-3-methoxy-17-methylmorphinan-6-ol | 3-Methylmorphin | 3-methylmorphine | 7,8-didehydro-4,5alpha-epoxy-3-methoxy-17-methylmorphinan-6alpha-ol | 7,8-didehydro-4,5α-epoxy-3-methoxy-17-methylmorphinan-6α-ol | Codein | Codeína | Codéine | Codeine anhydrous | Codeinum | L-Codeine | Methylmorphine | morphine 3-methyl ether | Morphine monomethyl ether | morphine monomethyl ether | morphine-3-methyl ether | O(3)-methylmorphine","OPRD1 | OPRK1 | OPRM1",""
"Piperacillin  |  (2S,5R,6R)-6-{[(2R)-2-{[(4-ethyl-2,3-dioxopiperazin-1-yl)carbonyl]amino}-2-phenylacetyl]amino}-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid | Piperacilina | Piperacillin | Piperacillin Anhydrous | Piperacillina | Pipéracilline | Piperacillinum","penA | pbp1b | pbp3 | pbp2a",""
"Dihydroergotamine  |  (2R,4R,7R)-N-[(1S,2S,4R,7S)-7-benzyl-2-hydroxy-4-methyl-5,8-dioxo-3-oxa-6,9-diazatricyclo[7.3.0.02,6]dodecan-4-yl]-6-methyl-6,11-diazatetracyclo[7.6.1.02,7.012,16]hexadeca-1(16),9,12,14-tetraene-4-carboxamide | 5'-Benzyl-12'-hydroxy-2'-methyl-3',6',18-trioxo-9,10-dihydroergotaman | 9,10-dihydro-12'-Hydroxy-2'-methyl-5'-(phenylmethyl)ergotoman-3',6',18-trione | 9,10-dihydroergotamine | Dihidroergotamina | Dihydroergotamin | Dihydroergotamine | Dihydroergotaminum | Diidroergotamina","ADRA2A | HTR2B | HTR1D | HTR1B",""
"Amitriptyline  |  10,11-dihydro-5-(gamma-Dimethylaminopropylidene)-5H-dibenzo(a,D)cycloheptene | 10,11-dihydro-N,N-Dimethyl-5H-dibenzo(a,D)heptalene-delta(5),gamma-propylamine | 3-(10,11-dihydro-5H-Dibenzo(a,D)cyclohepten-5-ylidene)-N,N-dimethyl-1-propanamine | 3-(10,11-dihydro-5H-Dibenzo[a,D]cyclohepten-5-ylidene)-N,N-dimethylpropan-1-amine | 5-(3-Dimethylaminopropylidene)-10,11-dihydro-5H-dibenzo(a,D)cycloheptatriene | 5-(3-Dimethylaminopropylidene)-10,11-dihydro-5H-dibenzo(a,D)cycloheptene | 5-(gamma-Dimethylaminopropylidene)-5H-dibenzo[a,D][1,4]cycloheptadiene | Amitriptilina | Amitriptylin | Amitriptyline | Amitriptylinum","CHRM3 | CHRM1 | HRH2 | HRH4 | SIGMAR1 | CHRM5 | ADRA2A | HTR1A | CHRM4 | OPRD1 | HRH1 | HTR2A | SLC6A2 | ADRA1A | HTR2C | CHRM2 | ADRA1B | OPRK1 | HTR7 | HTR1D | ADRA1D | SLC6A4 | OPRM1 | KCNA1 | HTR1B | KCNQ2 | HTR6 | NTRK1 | KCNQ3 | KCND2 | KCND3 | NTRK2 | ADRB1 | ADRB2 | ADRB3","RTK signaling | RTK signaling"
"Floxuridine  |  1-(2-Deoxy-beta-D-ribofuranosyl)-5-fluorouracil | 1-beta-D-2'-Deoxyribofuranosyl-5-flurouracil | 1beta-D-2'-Deoxyribofuranosyl-5-flurouracil | 2'-Deoxy-5-fluorouridine | 5-Fluoro-2-desoxyuridine | 5-Fluorodeoxyuridine | 5-Fluorouracil 2'-deoxyriboside | 5-Fluorouracil deoxyriboside | 5FDU | beta-5-Fluoro-2'-deoxyuridine | Deoxyfluorouridine | FdU | Floxiridina | Floxuridin | Floxuridine | Floxuridinum | Fluorodeoxyuridine | Fluoruridine Deoxyribose | FUDR","TYMS",""
"Tolcapone  |  (3,4-dihydroxy-5-nitrophenyl)(4-methylphenyl)methanone | 3,4-Dihydroxy-4'-methyl-5-nitrobenzophenone | 3,4-Dihydroxy-5-nitro-4'-methylbenzophenone | 4'-Methyl-3,4-dihydroxy-5-nitrobenzophenone | Tolcapon | Tolcapona | Tolcapone | Tolcaponum","COMT",""
"Fluorometholone  |  (1R,2S,8S,10S,11S,14R,15S,17S)-14-acetyl-1-fluoro-14,17-dihydroxy-2,8,15-trimethyltetracyclo[8.7.0.02,7.011,15]heptadeca-3,6-dien-5-one | 9-Fluoro-11beta,17-dihydroxy-6alpha-methylpregna-1,4-diene-3,20-dione | Fluor-OP | Fluorometholon | Fluorométholone | Fluorometholone | Fluorometholonum | Fluorometolona | NSC 33001 | Oxylone","NR3C1",""
"Nitroprusside  |  [Fe(CN)5(NO)](2-) | Nitroferricyanide","NPR1",""
"Hydromorphone  |  (-)-(5R)-4,5-Epoxy-3-hydroxy-9alpha-methylmorphinan-6-one | 4,5-Epoxy-3-hydroxy-17-methylmorphinan-6-one | 4,5alpha-Epoxy-3-hydroxy-17-methyl-6-morphinanone | 6-Deoxy-7,8-dihydro-6-oxomorphine | 7,8-Dihydromorphinone | Dihydromorfinon | Dihydromorphinone | Dimorphone | Hidromorfona | Hydromorfona | Hydromorphone | Hydromorphonum | Idromorfone","OPRD1 | OPRK1 | OPRM1",""
"Indomethacin  |  {1-[(4-chlorophenyl)carbonyl]-5-methoxy-2-methyl-1H-indol-3-yl}acetic acid | 1-(p-chlorobenzoyl)-5-methoxy-2-methylindole-3-acetic acid | Aconip | Indocin | Indometacin | Indometacina | Indometacine | Indometacinum | Indomethacin","PTGS1 | PPARA | PPARG | PTGS2 | GLO1 | PLA2G2A | PTGR2 | PTGDR2",""
"Ethambutol  |  (+)-2,2'-(ethylenediimino)di-1-butanol | (+)-ethambutol | (+)-N,N'-bis(1-(hydroxymethyl)propyl)ethylenediamine | (+)-S,S-ethambutol | (2S,7S)-2,7-Diethyl-3,6-diazaoctane-1,8-diol | (S,S)-Ethambutol | EMB | Etambutol | Etambutolo | Ethambutol | Ethambutolum | S,S-Ethambutol","embA | embB | embC",""
"Metformin  |  1,1-Dimethylbiguanide | Dimethylbiguanid | Haurymellin | Metformin | Metformina | Metformine | Metformine pamoate | Metforminum | N,N-Dimethylimidodicarbonimidic diamide","PRKAB1",""
"Ipratropium bromide  |  (endo,syn)-(±)-3-(3-hydroxy-1-oxo-2-phenylpropoxy)-8-methyl-8-(1-methylethyl)-8-azoniabicyclo[3.2.1]octane bromide | 3α-hydroxy-8-isopropyl-1αH,5αH-tropanium bromide (±)-tropate | 8-Isopropylnoratropine methobromide | Bromure d'ipratropium | Bromuro de ipratropio | Ipratropii bromidum | Ipratropium bromide (anhydrous) | Ipratropium bromide anhydrous | Ipratropiumbromid | N-Isopropylnoratropinium bromomethylate","CHRM3 | CHRM1 | CHRM2",""
"Methadone  |  (+-)-Methadone | (+/-)-Methadone | (±)-methadone | 6-Dimethylamino-4,4-diphenyl-3-heptanone | dl-Methadone | Methadonum","HTR3A | CHRNA10 | OPRD1 | GRIN3A | OPRM1",""
"Olanzapine  |  2-methyl-4-(4-methyl-1-piperazinyl)-10H-thieno[2,3-b][1,5]benzodiazepine | Olanzapin | Olanzapina | Olanzapine | Olanzapinum | Zyprexa","DRD1 | CHRM3 | CHRM1 | HRH2 | DRD5 | HRH4 | CHRM5 | ADRA2A | HTR1A | HTR3A | ADRA2C | DRD4 | HTR2B | CHRM4 | HRH1 | HTR2A | HTR1E | ADRA1A | HTR2C | CHRM2 | ADRA2B | ADRA1B | DRD3 | HTR7 | HTR1D | DRD2 | HTR1B | HTR6 | HTR5A | GABRA1 | GABRA2 | GABRA3 | GABRA4 | GABRA5 | GABRA6 | GABRB1 | GABRB2 | GABRB3 | GABRD | GABRE | GABRG1 | GABRG2 | GABRG3 | GABRP | GABRQ | ADRB1 | ADRB2 | ADRB3 | DRD1 | DRD5",""
"Atenolol  |  1-p-Carbamoylmethylphenoxy-3-isopropylamino-2-propanol | 2-(p-(2-Hydroxy-3-(isopropylamino)propoxy)phenyl)acetamide | 4-(2-Hydroxy-3-((1-methylethyl)amino)propoxy)benzeneacetamide | Atenololum","ADRB1 | ADRB2",""
"Nitrofural  |  5-Nitro-2-furaldehyde semicarbazone | Furacilin | Furacin | Nitrofural | Nitrofurazone","mdh | gor | poxB | citC",""
"Pimecrolimus  |  33-Epi-chloro-33-desoxyascomycin | Pimecrolimus | Pimecrolimusum","FKBP1A | MTOR","other"
"Omeprazole  |  OMEP | OMP | OMZ | Prilosec","ATP4A",""
"Metixene  |  Methixen | Methixene | Metisene | Metixeno | Metixenum","CHRM3 | CHRM1 | CHRM5 | CHRM4 | CHRM2",""
"Cetirizine  |  Cetirizin | Cetirizina | Cetirizinum","HRH1",""
"Terfenadine  |  (RS)-1-(4-tert-butylphenyl)-4-{4-[hydroxy(diphenyl)methyl]piperidin-1-yl}-butan-1-ol | Terfenadin | Terfenadina | Terfénadine | Terfenadine | Terfenadinum","CHRM3 | KCNH2 | CHRM1 | CHRM5 | CHRM4 | HRH1 | CHRM2",""
"Diltiazem  |  (+)-cis-5-[2-(dimethylamino)Ethyl]-2,3-dihydro-3-hydroxy-2-(P-methoxyphenyl)-1,5-benzothiazepin-4(5H)-one acetate ester | (2S-cis)-3-(Acetyloxy)-5-[2-(dimethylamino)ethyl]-2,3-dihydro-2-(4-methoxyphenyl)-1,5-benzothiazepin-4(5H)-one | (2S,3S)-5-(2-(dimethylamino)Ethyl)-2-(4-methoxyphenyl)-4-oxo-2,3,4,5-tetrahydrobenzo[b][1,4]thiazepin-3-yl acetate | Acetic acid (2S,3S)-5-(2-dimethylamino-ethyl)-2-(4-methoxy-phenyl)-4-oxo-2,3,4,5-tetrahydro-benzo[b][1,4]thiazepin-3-yl ester | Diltiazem | Diltiazemum","CACNG1",""
"Protriptyline  |  3-(5H-dibenzo[a,d][7]annulen-5-yl)-N-methylpropan-1-amine | 3-(5H-Dibenzo[a,D]cyclohepten-5-yl)-N-methyl-1-propanamine | 5-(3-Methylaminopropyl)-5H-dibenzo[a,D]cycloheptene | 7-(3-Methylaminopropyl)-1,2:5,6-dibenzocycloheptatriene | Amimetilina | N-Methyl-5H-dibenzo[a,D]cycloheptene-5-propanamine | N-Methyl-5H-dibenzo[a,D]cycloheptene-5-propylamine | Protriptilina | Protriptylin | Protriptyline | Protriptylinum","SLC6A2 | SLC6A4",""
"Alfuzosin  |  (±)-N-[3-[(4-amino-6,7-dimethoxy-2-quinazolinyl)methylamino]propyl]tetrahydro-2-furamide  | Alfuzosin | Alfuzosina | Alfuzosine | Alfuzosinum | N-[3-[(4-amino-6,7-dimethoxy-quinazolin-2-yl)- methyl-amino]propyl] tetrahydrofuran- 2-carboxamide","KCNH2 | ADRA1A | ADRA1B | ADRA1D",""
"Trimethadione  |  Tridione | Trimethadion | Triméthadione | Trimethadionum | Trimethinum | Troxidone","CACNA1G",""
"Nitisinone  |  2-(alpha,alpha,alpha-Trifluoro-2-nitro-P-tuluoyl)-1,3-cyclohexanedione | Nitisinona | Nitisinonum | Orfadin","HPD",""
