"","x"
"898","Bevacizumab HAI plus systemic chemotherapy"
"899","HAI plus systemic chemotherapy"
"900","FOLFIRI and cetuximab"
"901","BI 695502"
"902","TF2"
"903","IMP-288 labeled with In111 and Lu177"
"904","Ferric carboxymaltose"
"905","Ferrous Sulphate"
"906","5 FLUOROURACYL"
"907","acide folinique"
"908","capécitabine"
"909","PEP02"
"910","Abraxane"
"911","bryostatin 1"
"912","Cancer macrobead placement in abdominal cavity"
"913","BIBF 1120 and BIBW 2992"
"914","QS21"
"915","axitinib"
"916","Irinotecan + 5 FU + folinic acid"
"917","Folinic Acid + 5 FU"
"918","gamma-secretase/Notch signalling pathway inhibitor RO4929097"
"919","DHA-paclitaxel"
"920","oxaliplatin, folinic acid, fluorouracil"
"921","oxaliplatin, irinotecan, folinic acid, fluorouracil"
"922","eflornithine"
"923","Green Tea and Milk Thistle Supplements"
"924","embolization therapy"
"925","Enzastaurin HCl"
"926","vorinostat"
"927","everolimus"
"928","Topotecan"
"929","resveratrol"
"930","imatinib mesylate"
"931","entinostat"
"932","azacitidine"
"933","linifanib"
"934","mitomycin C"
"935","ALVAC-CEA-B7.1 vaccine"
"936","tetanus toxoid"
"937","Perindopril"
"938","Calcium Carbonate"
"939","Levofolinic acid"
"940","doxorubicin hydrochloride"
"941","ispinesib"
"942","sorafenib tosylate"
"943","low dose capecitabine"
"944","Elsiglutide"
"945","Wheatgerm juice"
"946","Interleukin-2"
"947","IMC-18F1"
"948","mFOLFOX-6"
"949","S-1, irinotecan, oxaliplatin"
"950","Tinzaparin"
"951","Mitomycin C"
"952","Irinotecan."
"953","6,8-bisoctanoic acid"
"954","calcium gluconate"
"955","magnesium sulfate"
"956","FOLFOX regimen=oxaliplatin, fluorouracil, & folinic acid"
"957","Cetuximab; mFOLFOX6"
"958","pertuzumab"
"959","Enzastaurin"
"960","MEK inhibitor MEK162"
"961","CPT-11 based regimens"
"962","Unconjugated IDEC-159"
"963","111In-IDEC-159"
"964","90Y-IDEC-159"
"965","i.v. iron sucrose"
"966","Oral iron"
"967","Brivanib Placebo"
"968","Teysuno"
"969","panobinostat"
"970","ALIMTA plus Oxaliplatin versus Oxaliplatin plus 5-Fluorouracil and Leucovorin"
"971","VELCADE TM for Injection, or PS-341"
"972","Folate"
"973","cetuximab-containing chemotherapy"
"974","DC Vaccine"
"975","Ad.hIFN-β"
"976","Vigil™ Vaccine"
"977","Irintoecan"
"978","HA-Irinotecan solution for Infusion"
"979","MUC1 - Poly ICLC"
"980","MDX-1106"
"981","Regorafenib/FOLFOX"
"982","Placebo/FOLFOX"
"983","dalotuzumab + MK-2206"
"984","dalotuzumab + MK-0752"
"985","Dalotuzumab + MK-8669"
"986","Simtuzumab"
"987","Placebo to match simtuzumab"
"988","macrogol 3350-based oral osmotic laxative"
"989","ADH300004"
"990","Curcumin C3 tablet"
"991","Raltitrexed-based chemotherapy"
"992","5-fluorouracil-based chemotherapy"
"993","nitrous oxide"
"994","nitrogen"
"995","Samples and follow up"
"996","pembrolizumab"
"997","HIPEC"
"998","Insulin"
"999","Anti-CEA-CAR T"
"1000","capecitabine, imatinib mesylate"
"1001","CT-011"
"1002","EZN-2208, Cetuximab and Irinotecan"
"1003","Adaptive autologous cell immunotherapy"
"1004","Adecatumumab"
"1005","Adecatumumab and FOLFOX"
"1006","FOLFOX 4"
"1007","CP-751, 871"
"1008","TroVax"
"1009","LDE225"
"1010","MM-121"
"1011","tezacitabine"
"1012","Irinotecan/Cetuximab"
"1013","CP-675,206"
"1014","MK-3475"
"1015","Isoquercetin"
"1016","CoFactor and 5FU"
"1017","Metformin ER"
"1018","Intravenous Lidocaine"
"1019","Normal saline infusion"
"1020","Ferrous fumarate"
"1021","ferriccarboxymaltose"
"1022","GS-5745"
"1023","Nab-paclitaxel"
"1024","Carboplatin"
"1025","Paclitaxel"
"1026","sunitinib + FOLFOX"
"1027","OMP-131R10"
"1028","L19TNFa"
"1029","Imatinib, Fluorouracil, Oxaliplatin, Leucovorin and Bevacizumab"
"1030","Bevacizumab:"
"1031","Simmitecan"
"1032","5-fluorouracil and Leucovorin Calcium"
"1033","Endoxana, Leukine, IMA910"
"1034","Endoxana, Leukine, IMA910, Aldara"
"1035","Fostamatinib disodium"
"1036","TF2 antibody/68Ga-IMP-288"
"1037","2-Fluoro-2-deoxyglucose"
"1038","bowel preparation: senna & gastrofin versus picolax"
"1039","STA-9090"
"1040","Chemotherapy plus monoclonal antibody"
"1041","Mesalazine"
"1042","E7070"
"1043","AVX701"
"1044","Lyso-Thermosensitive Liposomal Doxorubicin"
"1045","ThermoDox"
"1046","Bevacizumab [Avastin]"
"1047","Adjuvant chemotherapy"
"1048","Cytokine-induced killer cell immunotherapy"
"1049","AMG 706"
"1050","Raltitrexed and S-1"
"1051","MEDI-522"
"1052","Oxaliplatin, LV, 5-FU"
"1053","Pressurized IntraPeritoneal Air-flow Chemotherapy"
"1054","Pregabalin"
"1055","FOLFIRI-HD"
"1056","FOLFOX-7"
"1057","FOLFIRINOX"
"1058","Intraperitoneal Oxaliplatin"
"1059","Enadenotucirev"
"1060","Panitumumab, Doxycycline/Placebo"
"1061","CDX1307"
"1062","CDX-1307"
"1063","Oxaliplatine"
"1064","Xaliproden"
"1065","Cetuximab, irinotecan"
"1066","UFOX + Cetuximab"
"1067","FOLFOX4 + Cetuximab"
"1068","Diprosone"
"1069","fluoruracil"
"1070","Selenium"
"1071","TAA-Specific CTLs"
"1072","Entrectinib"
"1073","AMG820 and pembrolizumab"
"1074","interleukin-2"
"1075","MAGE-12 peptide vaccine"
"1076","Montanide ISA-51"
"1077","Recombinant Interleukin-12"
"1078","PLX8394"
"1079","GI-6207 [Recombinant Saccharomyces Cerevisia"
"1080","])"
"1081","AMG 228"
"1082","LS 11"
"1083","Vitamin E"
"1084","Vitamin E placebo"
"1085","selenium placebo"
"1086","TKM-080301"
"1087","recombinant nematode anticoagulant protein c2"
"1088","Capecitabine tablets"
"1089","cetuximab and lapatinib"
"1090","Acetic Acid"
"1091","HD6610 Granule"
"1092","HD6610 Granule placebo"
"1093","defined green tea catechin extract"
"1094","bevacizumab, capecitabine, oxaliplatin"
"1095","Bevacizumab biosimilar"
"1096","Avastin®"
"1097","BenFin"
"1098","acetylsalicylic acid"
"1099","Propranolol and Etodolac"
"1100","levofolinate"
"1101","CM-24"
"1102","LGK974"
"1103","Bupivacaine"
"1104","Diamorphine"
"1105","iodine I 131 monoclonal antibody CC49-deltaCH2"
"1106","Lenalidomide"
"1107","MM-151 + irinotecan"
"1108","carcinoembryonic antigen RNA-pulsed DC cancer vaccine"
"1109","prexasertib"
"1110","ralimetinib"
"1111","Senna tablets"
"1112","PEG"
"1113","Metoclopramide"
"1114","SUPREP oral sulfate solution"
"1115","Bisacodyl"
"1116","SUPREP oral sulfate solution with Gastrografin"
"1117","MSC1936369B"
"1118","SAR245409"
"1119","Xeloda,"
"1120","TKI258"
"1121","Dexamethasone"
"1122","Proton pump inhibitor"
"1123","Sorafenib Tosylate"
"1124","HIPEC with Mitomycin-C"
"1125","EPIC with FUDR and Leucovorin"
"1126","MAA for diagnostic SPECT imaging"
"1127","Diagnostic B20- SPECT imaging."
"1128","Indium labeled IMP-205xm734"
"1129","capecitabine plus oxaliplatin"
"1130","Navitoclax"
"1131","Pentoxifylline"
"1132","Ursodeoxycholic Acid"
"1133","Enoxaparin"
"1134","LY2880070"
"1135","EGEN-001-301"
"1136","Esomeprazole 40mg concomitantly"
"1137","Esomeprazole 40mg before"
"1138","Regorafenib 160mg or 120mg"
"1139","Curcuminoids"
"1140","Atezolizumab [TECENTRIQ]"
"1141","Cobimetinib"
"1142","Glutamine"
"1143","Calcium and Magnesium"
"1144","SR57746A"
"1145","Aquamin®"
"1146","rosuvastatin"
"1147","Nilotinib + Cetuximab"
"1148","Brivanib + Cetuximab"
"1149","FUDR +oxaliplatin"
"1150","oxaliplatin+Leucovorin+5-FU"
"1151","Dacomitinib"
"1152","Docetaxel"
"1153","Avelumab"
"1154","Modified Bolus 5-FU/LV with Irinotecan"
"1155","miFL + bevacizumab"
"1156","Infusional 5-FU/LV with Irinotecan"
"1157","Oral Capecitabine with Irinotecan"
"1158","Cancer Stem Cells Sensitivity Assay"
"1159","BMS-754807"
"1160","recombinant fowlpox-CEA/TRICOM vaccine"
"1161","recombinant vaccinia-CEA-TRICOM vaccine"
"1162","docetaxel"
"1163","Arm 1"
"1164","Arm 2"
"1165","boronophenylalanine-fructose complex"
"1166","sodium borocaptate"
"1167","GTI-2040"
"1168","Irinotecan, 5FU, leucovorin"
"1169","D-CIK and anti-PD-1 antibody"
"1170","bowel prep before endoscopy"
"1171","MTC-DOX for Injection"
"1172","Berberine Chloride"
"1173","Suntent"
"1174","Nexavar"
"1175","GC1118"
"1176","sulindac"
"1177","ARRY-438162, MEK inhibitor; oral"
"1178","Deep neuromuscular block using rocuronium and reversal with suggamadex"
"1179","Moderate neuromuscular block using rocuronium and reversal with suggamadex"
"1180","Toca 511"
"1181","Toca FC"
"1182","Selenium, selenomethionine"
"1183","Inositol"
"1184","TLR8 Agonist VTX-2337"
"1185","Ziv-Aflibercept"
"1186","nelfinavir"
"1187","EGFRBi armed ATC Infusions"
"1188","Carbon C 14 Oxaliplatin"
"1189","Arm A chemotherapy"
"1190","arm B chemotherapy"
"1191","Indigo carmine"
"1192","HalfLytely"
"1193","CRLX101"
"1194","Ipilimumab"
"1195","Nivolumab"
"1196","L-BLP25"
"1197","MT-102"
"1198","combined TAS-102 and TAS-OX"
"1199","OXY111A"
"1200","Intravenous infusion of ramosetron"
"1201","Afatinib"
"1202","Tailored Chemotherapy"
"1203","Nivolumab + Epacadostat"
"1204","CNTO 328; Anti-interleukin-6 monoclonal antibody"
"1205","PEG-rhG-CSF"
"1206","Rapamycin"
"1207","Corticosteroids"
"1208","dexpantenol [Bepantol]"
"1209","Icodextrin"
"1210","triacetyluridine"
"1211","camptosar"
"1212","Octreotide Long Acting Release"
"1213","autologous dendritic cell vaccination"
"1214","MM-398"
"1215","5-fluorouracile"
"1216","Exercise training plus metformin"
"1217","cancer stem cell vaccine"
"1218","EMD 273066"
"1219","LY2523355"
"1220","pegfilgrastim"
"1221","MK0683, vorinostat, Suberoylanilide Hydroxamic Acid"
"1222","Duration of Treatment - During each treatment cycle, treatment is administered twice daily for 14 days, followed by 7 days of rest for a total of 10 cycles"
"1223","dalteparin"
"1224","standard therapy"
"1225","SM04755"
"1226","Hydrocortisone 1% cream"
"1227","Clindamycin"
"1228","Medrol-dose pack"
"1229","Pregabalin, Oxaliplatin"
"1230","Placebo , Oxaliplatin"
"1231","Short Course Adjuvent Chemotherapy"
"1232","Long Course Adjuvant Chemotherapy"
"1233","Concurrent Chemotherapy"
"1234","MORAb-066"
"1235","ECO-4601"
"1236","IMMU-132"
"1237","Nicotine Replacement Patch"
"1238","Aspirin 100mg"
"1239","Aspirin 300mg"
"1240","Placebo 100mg"
"1241","Placebo 300mg"
"1242","DJ-927"
"1243","LMB-9 immunotoxin"
"1244","Vaccinia virus"
"1245","131-I-TM-601"
"1246","LUM015"
"1247","Lapatinib"
"1248","trametinib"
"1249","OBI-833/OBI-821"
"1250","preoperative induction chemotherapy in combination with bevacizumab followed by combined radiochemotherapy with capecitabine"
"1251","DS-7423"
"1252","CEA RNA-pulsed DC cancer vaccine"
"1253","Allogeneic whole epithelial tumor cells, DNP-conjugated and irradiated"
"1254","mutant p53 peptide pulsed dendritic cell vaccine"
"1255","therapeutic tumor infiltrating lymphocytes"
"1256","colloidal gold-bound tumor necrosis factor"
"1257","Anti-HER2 CAR-T"
"1258","DetoxPC"
"1259","tanespimycin"
"1260","memantine hydrochloride"
"1261","nicotine"
"1262","Capecitabine 1650 mg/m^2/day"
"1263","Capecitabine 1200 mg/m^2/day"
"1264","autologous tumor cell vaccine"
"1265","denileukin diftitox"
"1266","TRICOM-CEA"
"1267","monoclonal antibody F19"
"1268","orantinib"
"1269","MFE23 scFv-expressing autologous anti-CEA MFEz T lymphocytes"
"1270","fludarabine phosphate"
"1271","motexafin gadolinium"
"1272","RO5323441"
"1273","CI-1040"
"1274","Trastuzumab"
"1275","ado-trastuzumab emtansine"
"1276","XL281"
"1277","famotidine"
"1278","CPI-444"
"1279","CPI-444 + atezolizumab"
"1280","escitalopram oxalate"
"1281","Oxaliplatin HAI"
"1282","Oxaliplatin IV"
"1283","INO-1400"
"1284","INO-9012"
"1285","CB-1158"
"1286","Combination of varlilumab and nivolumab"
"1287","poly ICLC"
"1288","suramin"
"1289","Picoplatin"
"1290","Cisplatin"
"1291","Palbociclib"
"1292","vemurafenib [Zelboraf]"
"1293","pemetrexed disodium"
"1294","CNGRC peptide-TNF alpha conjugate"
"1295","Corynebacterium granulosum P40"
"1296","Foxy-5"
"1297","biological therapy"
"1298","semustine"
"1299","sunitinib malate"
"1300","Young TIL"
"1301","Aldesleukin"
"1302","Fludarabine"
"1303","carcinoembryonic antigen peptide 1-6D"
"1304","incomplete Freund's adjuvant"
"1305","Selumetinib and Medi4736"
"1306","Valproic Acid"
"1307","tegafur"
"1308","uracil"
"1309","Cetuximab and FOLFIRI"
"1310","Cetuximab and FOLFOX"
"1311","pentamidine"
"1312","ADI-PEG 20"
"1313","Pyridoxine"
"1314","enadenotucirev"
"1315","LY3214996"
"1316","Midazolam"
"1317","Abemaciclib"
"1318","DCVax-Direct"
"1319","anti-CD133-CAR vector-transduced T cells"
"1320","Indocyanine green"
"1321","Cetuximab/Gefitinib combination and/or monotherapy"
"1322","177Lu-J591"
"1323","Merestinib"
"1324","Folfox + Cetuximab"
"1325","Folfox"
"1326","folinate calcium"
"1327","sodium heparin"
"1328","natural killer T cell"
"1329","quercetin"
"1330","Bevacizumab + blood samples"
"1331","HAI"
"1332","antineoplaston A10"
"1333","antineoplaston AS2-1"
"1334","TGR-1202"
"1335","nab-paclitaxel + gemcitabine"
"1336","Oxaliplatin + Folinic acid + Fluorouracil"
"1337","Oxaliplatin + Folinic acid + Fluorouracil + Bevacizumab"
"1338","Capecitabine [Xeloda]"
"1339","exisulind"
"1340","neuromuscular blockade"
"1341","hexaminolevulinate"
"1342","PDR001"
"1343","LCL161"
"1344","Panobinostat"
"1345","Xenon"
"1346","Desflurane"
"1347","ACZ885"
"1348","CJM112"
"1349","TMT212"
"1350","EGF816"
"1351","MOVIPREP"
"1352","CitraFleet"
"1353","capecitabine, bevacizumab"
"1354","PEG-Asc"
"1355","SPMC 2"
"1356","Polyethylene glycol"
"1357","Sodium picosulphate with magnesium citrate"
"1358","PEG-Asc with simethicone"
"1359","Fleet"
"1360","Methylene Blue MMX tablets"
"1361","NER1006, 2-Day Split-Dosing"
"1362","NER1006,1-Day Morning Split-Dosing"
"1363","MOVIPREP, 2-Day Split-Dosing"
"1364","NER1006, Day Before-Only Dosing"
"1365","SP+MS, Day Before-Only Dosing"
"1366","Colon KCC Heptapeptide"
"1367","NER1006"
"1368","Moviprep"
"1369","comparing 2 drugs on their effect on the bowel preparation for colonoscopy"
"1370","Methylene Blue MMX®"
"1371","PEG solution in a single dose of 3 liters"
"1372","PEG solution"
"1373","Lidocaine infusion plus ketamine injection"
"1374","ONC201"
"1375","Promitil"
"1376","Vismodegib"
"1377","Bosutinib"
"1378","SAR408701"
"1379","RO5212054"
"1380","saracatinib"
"1381","capecitabine RTD"
"1382","Akt Inhibitor MK2206"
"1383","Topical Dapsone 5% Gel"
"1384","oral antibiotics"
"1385","INCB039110"
"1386","INCB050465"
"1387","chemotherapy and GI-4000"
"1388","GI-4000"
"1389","5-fluorouracil, levamisol, interferon"
"1390","Fluourouracil"
"1391","MAb 17-1A"
"1392","tivozanib and capecitabine"
"1393","GD0-994"
"1394","Detox-B adjuvant"
"1395","Refametinib"
"1396","[68Ga]MLN6907"
"1397","Panitumumab with capecitabine and oxaliplatin followed by"
"1398","Panitumumab with capecitabine and radiation"
"1399","Glycosylated Recombinant Human Interleukin-7"
"1400","Diphtheria/Tetanus Vaccine"
"1401","Polio Vaccine"
"1402","Pneumococcal Vaccine"
"1403","Hepatitis A Vaccine"
"1404","Hepatitis B Vaccine"
"1405","fentanyl-based analgesia"
"1406","local anesthetic wound infiltration-based anlagesia"
"1407","LOXO-101"
"1408","MEK162 + AMG 479"
"1409","EP2101"
"1410","S-1, Irinotecan, Oxaliplatin"
"1411","MT110"
"1412","AM0010"
"1413","Paclitaxel or Docetaxel and Carboplatin or Cisplatin"
"1414","gemcitabine/nab-paclitaxel"
"1415","Pazopanib"
"1416","Gemcitabine/carboplatin"
"1417","Irinotecan + capecitabine"
"1418","Standard adjuvant systemic chemotherapy"
"1419","ABBV-221"
"1420","LY3009120 capsule"
"1421","Prexasertib"
"1422","G-CSF"
"1423","LY3023414"
"1424","ARB"
"1425","ACEI"
"1426","Beta-blockers"
"1427","Diuretics"
"1428","Telmisartan"
"1429","Lonafarnib"
"1430","AP 12009"
"1431","figitumumab"
"1432","pegvisomant"
"1433","perioperative chemotherapy plus bevacizumab"
"1434","Indomethacin"
"1435","SN2310 Injectable Emulsion"
"1436","Dendritic Killer Cell"
"1437","oral nutritional supplement rich in eicosapentanoic acid"
"1438","Human synthetic secretin"
"1439","PLX4032"
"1440","anti-MUC1 CAR-pNK cells"
"1441","FOLFIRI."
"1442","Atorvastatin"
"1443","DEC-205/NY-ESO-1 Fusion Protein CDX-1401"
"1444","Sirolimus"
"1445","cefmetazole"
"1446","kanamycin/metronidazole"
"1447","Intravenous ferric carboxymaltose"
"1448","anti-MUC1 CAR-T cells"
"1449","tamoxifen"
"1450","anastrozole"
"1451","zoledronic acid"
"1452","Trastuzumab, Docetaxel"
"1453","Trastuzumab, Docetaxel, Bevacizumab"
"1454","Trastuzumab+Docetaxel+NPLD"
"1455","Trastuzumab+Docetaxel+NPLD+Bevacizumab"
"1456","Capecitabine, XRT & Cetuximab"
"1457","Epirubicin"
"1458","Trisulfate solution"
"1459","Epirubicine"
"1460","Caffeine"
"1461","corn starch"
"1462","Oral simethicone"
"1463","Tamoxifen alone"
"1464","Tamoxifen + Aminoglutethimide"
"1465","Goserelin"
"1466","Tamoxifen"
"1467","Vitamin E ointment application"
"1468","Lubiprostone"
"1469","ipilimumab"
"1470","MLF 541"
"1471","Lipofundin MCT"
"1472","Hartmann's solution"
"1473","NB1011"
"1474","Tas-102"
"1475","Systemic chemotherapy alone"
"1476","antioxidants"
"1477","FOLFOX6 and Avastin"
"1478","AlloStim-7"
"1479","AlloStim8 or AlloStim-9"
"1480","PD-0332991"
"1481","Ibuprofen"
"1482","Ferumoxytol followed by MM-398"
"1483","[6R] 5,10-methylenetetrahydrofolate"
"1484","Levoleucovorin"
"1485","STM 434"
"1486","Liposomal doxorubicin"
"1487","Motexafin Gadolinium"
"1488","TSR-022"
"1489","anti PD-1 antibody"
"1490","I-131-CLR1404"
"1491","ALT-801"
"1492","oral belinostat"
"1493","Curcumin"
"1494","NS-9 [Poly I: Poly C]"
"1495","belinostat"
"1496","curcumin"
"1497","AQ4N"
"1498","OSI-930 and erlotinib"
"1499","PF-06671008"
"1500","GTx-024"
"1501","OSI-930"
"1502","PF-05082566"
"1503","PF-04518600"
"1504","INCB057643"
"1505","Atezolizumab, an engineered anti-PDL1"
"1506","INCB054329 Monotherapy"
"1507","ABT-165"
"1508","KBP-5209"
"1509","anti-CEA CAR-T cells"
"1510","GL-ONC1"
"1511","Eculizumab"
"1512","Sandostatin LAR Depot"
"1513","CELECOXIB"
"1514","CURCUMIN"
"1515","GIC-1001"
"1516","Mithramycin"
"1517","leucovorin+5-FU"
"1518","Casopitant"
"1519","Dexamethasone and Ondansetron"
"1520","PDT with 5-ALA radiosensitization"
"1521","MVA-FCU1, flucytosine"
"1522","5FU/LV"
"1523","Calcumin"
"1524","Tecemotide"
"1525","MK0966; Rofecoxib / Duration of Treatment: 156 weeks"
"1526","Placebo/ Duration of Treatment: 156 weeks"
"1527","standard dose capecitabine"
"1528","dose-escalated selinexor treatment"
"1529","cytokine-induced killer cells"
"1530","Neoadjuvant Chemotherapy"
"1531","Regular bupropion use"
"1532","Regular SSRI use"
"1533","Regular TCA use"
"1534","Regular use of any other antidepressant"
"1535","bosutinib"
"1536","Injection with the hypoxia tracer [18F]HX4,"
"1537","CB-5083"
"1538","Bevacizumab-IRDye800CW"
"1539","Lymphoseek and VBD Sln dissection"
"1540","Bleomycin PHC 15 e."
"1541","Zoledronic acid"
"1542","MUC1 Peptide-Poly-ICLC Vaccine"
"1543","BGJ398"
"1544","irinotecan, oxaliplatin"
"1545","oxaliplatin, irinotecan"
"1546","EMD 1201081"
"1547","LV5FU2 or capectitabine"
"1548","FOLFOX4 or XELOX"
"1549","LV5FU2 or capecitabine"
"1550","Berberine hydrochloride"
"1551","Ropivacaine"
"1552","Fentanyl"
"1553","Propofol"
"1554","Isoflurane"
"1555","Nitrous Oxide"
"1556","Regorafenib 160 mg"
"1557","general anesthesia followed by opioid analgesia"
"1558","124I-NM404"
"1559","Filgrastim or Pegfilgrastim"
"1560","EMD 525797"
"1561","epidural fentanyl"
"1562","5-FU, Oxaliplatin, Leukovorin"
"1563","Alefacept exposure"
"1564","Oxaliplatin, 5-Fluorouracil"
"1565","TAK-165"
"1566","PET tracer"
"1567","V935"
"1568","V934-EP"
"1569","RECONVAL CREAM"
"1570","PLACEBO"
"1571","ENMD-2076"
"1572","DS6051b"
"1573","Bevacizumab, docetaxel, cisplatin"
"1574","CC-90003"
"1575","Cetuximab IF"
"1576","GSK525762"
"1577","cisplatin+capecitabine"
"1578","epirubicin+cisplatin+capecitabine"
"1579","Placebo Acetylsalicylic acid"
"1580","Mitomycin + Gemcitabine"
"1581","HAPREP®"
"1582","SUCLEAR®"
"1583","Perifosine in combination with capecitabine"
"1584","Eribulin"
"1585","Doxorubicin"
"1586","apatinib;etoposide and cisplatin"
"1587","placebo;etoposide and cisplatin"
"1588","systemic treatment"
"1589","BEZ235 + MEK162"
"1590","CART-EGFR"
"1591","BKM120 + MEK162"
"1592","PKI-179"
"1593","MK-8353"
"1594","S-1 combined with Leucovorin"
"1595","intraperitoneal OXAliplatin + systemic FOLFIRI bevacizumab chemotherapy"
"1596","Cisplatin, 5-FU"
"1597","PEG-3350 and Gatorade"
"1598","Golytely 4 liters"
"1599","Loperamide"
"1600","Stivarga"
"1601","Paclitaxel Cisplatin"
"1602","Infliximab"
"1603","thiopurine"
"1604","Arm1: Statin"
"1605","Arm2: Placebo"
"1606","Neostigmine"
"1607","Lomotil"
"1608","Ziv-aflibercept"
"1609","Ziv-aflibercept Placebo"
"1610","docetaxel oxaliplatin"
"1611","Cesamet"
"1612","Menadione Topical Lotion"
"1613","Cyclophosphamide, Topotecan, and Bevacizumab"
"1614","intravenous immunoglobulin"
"1615","Folfiri-bevacizumab"
"1616","Folfiri"
"1617","CA-170"
"1618","infusions of Panitumumab"
"1619","METFORMIN"
"1620","TAXOTERE®"
"1621","allogenic immunotherapy based on Natural Killer cells adoptive transfer"
"1622","fludarabine"
"1623","GSK1120212"
"1624","Bevacizumab and Temozolomide"
"1625","Amitriptyline"
"1626","bevacuzimab spray"
"1627","antibiotic"
"1628","medroxyprogesterone"
"1629","ethinyl estradiol"
"1630","norgestrel"
"1631","SU011248 & Irinotecan"
"1632","Acetylsalicylic acid lysinate 300 mg"
"1633","Acetylsalicylic acid lysinate 100 mg"
"1634","Placebo 100"
"1635","Ranibizumab"
"1636","Palbociclib PD-0332991"
"1637","Cefotetan"
"1638","ropivacaine"
"1639","Ixabepilone"
"1640","Anastrozole"
"1641","MK-4827"
"1642","dtEC→dtT"
"1643","FEC→T"
"1644","Standard Adjuvant Endocrine Therapy"
"1645","GDC-0032"
"1646","Letrozole"
"1647","Denosumab"
"1648","Non-steroidal aromatase inhibitor therapy"
"1649","oligofructose-enriched inulin"
"1650","atorvastatin calcium"
"1651","modified vaccinia virus ankara vaccine expressing p53"
"1652","PSMA/PRAME"
"1653","polyethylene glycol"
"1654","E6 TCR"
"1655","[F-18]RGD-K5"
"1656","Hextend"
"1657","Lactated Ringers"
"1658","Ursodeoxycholic acid"
"1659","Rifaximin"
"1660","Neoadjuvant chemotherapy Folfirinox, 4 cycles"
"1661","Placebo A"
"1662","Placebo B"
"1663","5Fluorouracile and Mitomycin-C"
"1664","Ertapenem"
"1665","AlloMEM™"
"1666","Omegaven"
"1667","Gabapentin prescriptions"
"1668","JI-101"
"1669","capecitabineand oxaliplatin"
"1670","Sienna+ injection"
"1671","7-hydroxystaurosporine"
"1672","pan FGFR Kinase Inhibitor BGJ398"
"1673","bevacizumab, capecitabine"
"1674","EF5"
"1675","motexafin lutetium"
"1676","Rosuvastatin"
"1677","FOLFOX and bevacizumab"
"1678","Cycolphosphamide"
"1679","E7 TCR cells"
"1680","human papillomavirus 16 E7 peptide"
"1681","synthetic human papillomavirus 16 E6 peptide"
"1682","[F 18]HX4"
"1683","Postoperative dwell with paclitaxel and 5-FU"
"1684","Mitomycins"
"1685","Eflornithine plus Sulindac"
"1686","Eflornithine and Placebo"
"1687","Sulindac and Placebo"
"1688","FDG"
"1689","5-flurorouracil"
"1690","dimethane sulfonate"
"1691","Poly-ICLC"
"1692","Advaxis"
"1693","DPX-E7 vaccine"
"1694","Oxaliplatin/irinotecan + capecitabine, 5-FUI ± bevacizumab"
"1695","Resveratrol"
"1696","Induction Chemotherapy arm A"
"1697","Chemotherapy arm B"
"1698","paricalcitol"
"1699","AD5 CEA Vaccine"
"1700","concurrent capecitabine or 5-FU"
"1701","IVIG"
"1702","Chemoradiation"
"1703","intensified preoperative chemotherapy"
"1704","5-Fluoruracil"
"1705","Head and neck"
"1706","Colon- Closed as of May 2014"
"1707","Cu 64 anti-CEA monoclonal antibody M5A IV"
"1708","veliparib"
"1709","Piritramide"
"1710","Ropidoxuridine"
"1711","LY2157299"
"1712","p53: 264-272 peptide"
"1713","capecitabine and IMRT"
"1714","Autologous Natural Killer / Natural Killer T Cell Immunotherapy"
"1715","Dacarbazine"
"1716","XELIRI"
"1717","GI-6301"
"1718","Cediranib Maleate"
"1719","OncoVAX and Surgery"
"1720","imiquimod"
"1721","NeuroRegen scaffold/BMMCs transplantation"
"1722","NeuroRegen scaffold/HUC-MSCs transplantation"
"1723","selumetinib"
"1724","Tempol"
"1725","Mitomycin-C"
"1726","Induction and gap chemotherapy"
"1727","PEP503"
"1728","epoetin alfa"
"1729","Imatinib"
"1730","Cetuximab, Irinotecan, Capecitabine"
"1731","Capecitabine, Irinotecan"
"1732","ferumoxtran-10"
"1733","Tomudex"
"1734","Capecitabine during all Radiotherapy period"
"1735","Endoscopic injection of 99mTc-sulfur colloid"
"1736","palifermin"
"1737","rSIFN-co"
"1738","Locally Directed Therapy"
"1739","Postoperative chemotherapy"
"1740","Neoadjuvant chemotherapy"
"1741","Chemo with concomitant Capecitabine and KD018"
"1742","Placebo ChangTai Keli"
"1743","ChangTai Keli"
"1744","cetuximab, capecitabine"
"1745","Tom-OX"
"1746","alvespimycin hydrochloride"
"1747","levofolinic acid"
"1748","HspE7"
"1749","[F-18]HX4"
"1750","Capecitabine Oxaliplatin"
"1751","Eflornithine plus Placebo"
"1752","Sulindac plus Placebo"
"1753","Hycamtin"
"1754","recombinant fowlpox GM-CSF vaccine adjuvant"
"1755","mFOLFOX6 with radiation"
"1756","XELOX or FOLFOX chemotherapy"
"1757","rhGM-CSF"
"1758","EPO906"
"1759","Bevacizumab + Capecitabine + Radiotherapy"
"1760","Capecitabine + Radiotherapy"
"1761","MK0966; rofecoxib / Duration of Treatment: 24 weeks"
"1762","Comparator: placebo / Duration of Treatment: 24 weeks"
"1763","Gliolan"
"1764","capecitabine + ganetespib"
"1765","Laxabon®"
"1766","Adjuvant FL"
"1767","Adjuvant FOLFOX"
"1768","Midostaurin"
