"Rank","NCT Number","Title","Recruitment","Study Results","Conditions","Interventions","Sponsor/Collaborators","Gender","Age","Phases","Enrollment","Funded Bys","Study Types","Study Designs","Other IDs","First Received","Start Date","Completion Date","Last Updated","Last Verified","Results First Received","Acronym","Primary Completion Date","Outcome Measures","URL"
73,"NCT00742729","Increasing Colorectal Cancer Screening Among Filipino Americans","Completed","No Results Available","Colorectal Cancer","Behavioral: Arm 1|Behavioral: Arm 2|Behavioral: Arm 3","Jonsson Comprehensive Cancer Center|American Cancer Society, Inc.","Both","50 Years to 70 Years   (Adult, Senior)","","906","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Single Blind (Subject)|Primary Purpose: Screening","RSGT-04-210-01-CPPB","August 27, 2008","September 2004","June 2009","July 28, 2016","November 2010","No Study Results Posted","null","June 2009","Receipt of a colorectal cancer screening test|Knowledge and attitudes regarding CRC screening.","https://ClinicalTrials.gov/show/NCT00742729"
74,"NCT01856322","Surgery Plus Sulindac or Surgery Alone for Advanced Colorectal Cancer","Terminated","Has Results","Colorectal Cancer|Liver Metastasis|Colorectal Adenocarcinoma","Drug: Sulindac|Drug: Placebo|Other: Validate assays and shipping methods","National Cancer Institute (NCI)|Charite University, Berlin, Germany|National Institutes of Health Clinical Center (CC)","Both","18 Years and older   (Adult, Senior)","Phase 2","3","NIH|Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double-Blind|Primary Purpose: Treatment","130126|13-C-0126","May 14, 2013","April 2013","January 2015","October 22, 2015","October 2015","March 25, 2015","null","January 2015","Difference in Circulating S100A4 Transcript in Patients Receiving Sulindac 150 mg BD (Twice Daily) by Mouth Following Resection of Colorectal Cancer Metastases Compared to Those Who do Not.","https://ClinicalTrials.gov/show/NCT01856322"
75,"NCT00136227","Use and Decision-making About Colorectal Cancer Screening Among Hispanic Men and Women","Completed","No Results Available","Colorectal Cancer","Behavioral: small media intervention using video, flip chart, and pamphlets and a tailored interactive multimedia intervention","Centers for Disease Control and Prevention","Both","50 Years and older   (Adult, Senior)","","521","U.S. Fed","Interventional","Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Prevention","CDC-NCCDPHP-4527|U48/DP000057 (SIP 18-04)","August 25, 2005","October 2005","April 2010","September 6, 2012","September 2012","No Study Results Posted","null","April 2010","colorectal cancer screening initiation rate|decisional balance|self-efficacy|knowledge about colorectal cancer screening|perceived risk of colorectal cancer|perceived survivability|perceived guilt|outcome expectations|subjective norms|intention to undergo colorectal cancer screening|making decisions about colorectal cancer screening that are consistent with their values and preferences","https://ClinicalTrials.gov/show/NCT00136227"
76,"NCT00199654","Positron Emission Tomography (PET) Interest in the Follow Up of Colorectal Cancer Stage II and III","Completed","No Results Available","Colorectal Cancer","Procedure: PET","University Hospital, Limoges","Both","18 Years and older   (Adult, Senior)","Phase 3","376","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Diagnostic","I03001","September 14, 2005","February 2004","April 2013","April 8, 2013","April 2013","No Study Results Posted","null","November 2012","Time to colorectal cancer relapse|Evaluation of overall survival in the two groups|Evaluation of the rate of curative surgery|Comparison of the medical cost in the two detection strategies","https://ClinicalTrials.gov/show/NCT00199654"
77,"NCT00278889","Second Line ColoRectal Cancer Therapy in Combination With Combination of FOL- Folinic Acid(Leucovorin), F - Fluorouracil and OX - Oxaliplatin (FOLFOX)","Completed","Has Results","Colorectal Cancer","Drug: AZD2171|Drug: 5-fluorouracil|Drug: Leucovorin|Drug: Oxaliplatin|Drug: Bevacizumab","AstraZeneca","Both","18 Years and older   (Adult, Senior)","Phase 2","215","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)|Primary Purpose: Treatment","D8480C00041|EUDRACT number 2005-003443-31|HORIZON I","January 17, 2006","January 2006","October 2009","September 24, 2012","September 2012","July 26, 2012","HORIZON I","November 2007","Progression Free Survival|Objective Response Rate|Overall Survival|Quality Of Live(QOL) : Time to Worsening of Tissue Oxygen Index (TOI)|QOL: Time to Worsening of Treatment-free Survival (TFS)|QOL: Time to Worsening of Clear Cell Sarcoma (CCS)|QOL: Time to Worsening of FACT Colorectal Cancer Symptom Index(FCSI)","https://ClinicalTrials.gov/show/NCT00278889"
78,"NCT01211379","The FLU-FOBT Program in Primary Care Settings Where Disparities Persist","Completed","No Results Available","Colorectal Cancer","Behavioral: FLU-FOBT Program","University of California, San Francisco|San Francisco Department of Public Health|Centers for Disease Control and Prevention","Both","50 Years to 75 Years   (Adult, Senior)","","1372","Other|U.S. Fed","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Screening","1R18DP001566-01","September 25, 2010","October 2009","August 2010","October 14, 2010","September 2010","No Study Results Posted","null","April 2010","Change in Colorectal Cancer Screening Rate","https://ClinicalTrials.gov/show/NCT01211379"
79,"NCT01464151","Risk Factors for Colorectal Cancer in Patients With Inflammatory Bowel Disease Undergoing Surveillance: a Prospective Cohort Study","Recruiting","No Results Available","Inflammatory Bowel Disease|Colorectal Cancer","","UMC Utrecht|Merck Sharp & Dohme Corp.|Ferring Pharmaceuticals","Both","18 Years to 70 Years   (Adult, Senior)","","700","Other|Industry","Observational","Observational Model: Cohort|Time Perspective: Prospective","11-050","October 31, 2011","July 2011","December 2018","December 4, 2015","December 2015","No Study Results Posted","null","July 2018","low- or high grade dysplasia or colorectal cancer during follow-up","https://ClinicalTrials.gov/show/NCT01464151"
80,"NCT00199797","Phase I Trial of huA33 Plus Chemotherapy in Patients With Metastatic Colorectal Cancer","Completed","No Results Available","Colorectal Cancer","Drug: huA33 antibody plus chemotherapy","Ludwig Institute for Cancer Research","Both","18 Years and older   (Adult, Senior)","Phase 1","20","Other","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","LUD2003-005","September 12, 2005","October 2004","July 2007","March 2, 2009","March 2009","No Study Results Posted","null","July 2007","To determine the safety of the combination of huA33 and 5FU plus leucovorin and oxaliplatin in patients with metastatic colorectal cancer|To measure the immunogenicity of huA33 when given in combination with 5FU plus leucovorin with oxaliplatin|To document tumor responses in patients receiving huA33 and 5FU plus leucovorin and oxaliplatin.","https://ClinicalTrials.gov/show/NCT00199797"
81,"NCT00145314","FLOX in Combination With Cetuximab in First-line Treatment of Colorectal Cancer","Completed","No Results Available","Metastatic Colorectal Cancer","Drug: FLOX (5-fluorouracil/folinic acid/oxaliplatin)|Drug: FLOX (5-fluorouracil/folinic acid/oxaliplatin) and Cetuximab|Drug: FLOX (5-fluorouracil and folinic acid and oxaliplatin) intermittently and maintenance cetuximab","The Nordic Colorectal Cancer Biomodulation Group","Both","18 Years to 74 Years   (Adult, Senior)","Phase 3","571","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","Nordic VII|EudraCT no.: 2005-000117-34","September 2, 2005","May 2005","August 2010","January 13, 2011","January 2011","No Study Results Posted","null","May 2009","To compare efficacy, as measured by time to disease progression, of treatment with cetuximab in combination with the FLOX regimen compared to FLOX alone, in first- line treatment of patients with metastatic cororectal cancer|To measure response rates, response duration, secondary surgical curative resection frequency, safety profile, overall survival and quality of life in the treatment groups.","https://ClinicalTrials.gov/show/NCT00145314"
82,"NCT01056809","Treatment Strategies for Primarily Generalized Colorectal Cancer","Terminated","No Results Available","Colorectal Cancer","Procedure: Chemotherapy and surgery","Vrinnevi Hospital|Medical Research Council of Southeast Sweden","Both","Child, Adult, Senior","","15","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","PGC-8","January 25, 2010","January 2010","May 2012","May 30, 2012","May 2012","No Study Results Posted","PGC","May 2012","Overall survival|3 year survival for patients treated with curative intent|Palliative patients not receiving chemotherapy treated with the traditional strategy|Quality of life|Health care consumption|Complications and side effects","https://ClinicalTrials.gov/show/NCT01056809"
83,"NCT01915472","A Phase II Study of IMMU 130 in Patients With Metastatic Colorectal Cancer","Not yet recruiting","No Results Available","Metastatic Colorectal Cancer","Drug: IMMU 130","Immunomedics, Inc.","Both","18 Years and older   (Adult, Senior)","Phase 2","50","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","IMMU 130-03","August 1, 2013","September 2013","null","August 1, 2013","August 2013","No Study Results Posted","null","August 2015","Safety|Efficacy","https://ClinicalTrials.gov/show/NCT01915472"
84,"NCT02078804","Colonoscopy and FIT as Colorectal Cancer Screening Test in the Average Risk Population","Enrolling by invitation","No Results Available","Colorectal Cancer","Procedure: Colonoscopy","Uppsala University Hospital|Swedish Association of Local Authorities and Regions|The Regional Cancer Centers of Sweden","Both","59 Years to 62 Years   (Adult)","","200000","Other","Interventional","Allocation: Randomized|Intervention Model: Factorial Assignment|Masking: Open Label|Primary Purpose: Screening","2012/2058- 31/3","February 11, 2014","March 2014","December 2034","June 3, 2015","June 2015","No Study Results Posted","null","March 2017","Mortality from colorectal cancer in the Swedish population.|Incidence of colorectal cancer in the Swedish population.|To study compliance with the screening program (read study) and what factors are of importance for the adherence rate.|To study health economy and costs for colorectal cancer screening.|To study the emotional impact of screening on participants and non-participants including eventual change in lifestyle after invitation and/or participation.|To study quality control aspects and side effects of screening with colonoscopy.|To study pathology by means of quality registries and digital pathology.|To study surveillance strategies for adenomas found at colonoscopy.|To study associations of DNA in blood with findings at colonoscopy.|To study the flora of fecal bacteria among participants and outcome of FIT and colonoscopy.","https://ClinicalTrials.gov/show/NCT02078804"
85,"NCT00558051","Alpha-type-1 Dendritic Cell-based Vaccines in Patients With Metastatic Colorectal Cancer","Completed","No Results Available","Metastatic Colorectal Cancer","Biological: DC-based vaccine|Biological: DC-based vaccine|Biological: DC-based vaccine","Pawel Kalinski|University of Pittsburgh","Both","18 Years to 80 Years   (Adult, Senior)","Phase 1","15","Other","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Basic Science","05-063","November 13, 2007","January 2008","April 2014","March 31, 2016","March 2016","No Study Results Posted","null","December 2011","The primary endpoint of this study is to evaluate the feasibility and safety of semi-continuous intralymphatic vaccination dendritic cells.|The secondary objective of this study is to evaluate the immunity results from either single injections or semi-continuous infusion, intradermal or intranodal, administered immunization with the DC vaccine for colorectal cancer (CRC) patients.","https://ClinicalTrials.gov/show/NCT00558051"
86,"NCT02872779","Correlation Between Circulating Tumour Markers Early Variations and Clinical Response in First Line Treatment of Metastatic Colorectal Cancer","Recruiting","No Results Available","Circulating Markers|Metastatic Colorectal Cancer","Procedure: Blood sampling for free mutant DNA analysis","University Hospital, Rouen","Both","18 Years and older   (Adult, Senior)","","74","Other","Interventional","Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Diagnostic","2015/076/HP","August 16, 2016","August 2016","August 2020","August 16, 2016","August 2016","No Study Results Posted","COCA-MACS","August 2020","Difference from baseline in the number of free mutant DNA in blood|Evaluation of response based on the RECIST 1.1 guideline","https://ClinicalTrials.gov/show/NCT02872779"
87,"NCT00823810","Treatment Monitoring of Advanced Colorectal Cancer With 18F-FDG PET/CT","Terminated","No Results Available","Colorectal Cancer","Other: PET/CT","Turku University Hospital","Both","40 Years to 80 Years   (Adult, Senior)","","20","Other","Interventional","Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Diagnostic","RESCORE","January 15, 2009","December 2008","December 2011","October 8, 2014","October 2014","No Study Results Posted","RESCORE","December 2011","Survival|Time to progression","https://ClinicalTrials.gov/show/NCT00823810"
88,"NCT02364154","Colorectal Cancer Detected by 1H-NMR Spectroscopy","Recruiting","No Results Available","Colorectal Cancer","Other: Blood sampling|Other: Blood sampling","Hasselt University|Ziekenhuis Oost-Limburg","Both","40 Years to 90 Years   (Adult, Senior)","","100","Other","Observational","Observational Model: Case Control|Time Perspective: Prospective","14/070U","February 10, 2015","December 2014","September 2015","February 16, 2015","February 2015","No Study Results Posted","BIOCOR","June 2015","metabolic phenotype of colorectal cancer|tumor histology|tumor stage","https://ClinicalTrials.gov/show/NCT02364154"
89,"NCT02596113","Νew Molecular Biomarkers for the Prevention and Early Detection of Precancerous or Cancerous Colorectal Lesions During Screening for Colorectal Cancer","Recruiting","No Results Available","Colorectal Cancer","","Evangelismos Hospital|National and Kapodistrian University of Athens","Both","50 Years to 75 Years   (Adult, Senior)","","90","Other","Observational","Observational Model: Case Control|Time Perspective: Prospective","galanopoulosm","October 3, 2015","July 2015","May 2019","November 3, 2015","November 2015","No Study Results Posted","null","June 2016","Genes' mutations rate in patients who are submitted screening colonoscopy and they presented with no endoscopic findings|Genes' mutations rate in patients who are submitted screening colonoscopy and they presented with adenomatous polyp bigger than 1 cm|Genes' mutations rate in patients who are submitted screening colonoscopy and they presented with cancerous lesion","https://ClinicalTrials.gov/show/NCT02596113"
90,"NCT01492049","R-21 Colorectal Cancer Screening (CRCS) Pilot Trial","Recruiting","No Results Available","Colorectal Neoplasms","Behavioral: CRCS patient decision aid (PtDA) video|Behavioral: Questionnaires|Behavioral: Essential Hypertension video","M.D. Anderson Cancer Center|National Cancer Institute (NCI)","Both","49 Years to 75 Years   (Adult, Senior)","","180","Other|NIH","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label","2010-0698|R21CA132669|NCI-2015-01899","December 12, 2011","August 2012","null","April 1, 2016","April 2016","No Study Results Posted","null","August 2018","Colorectal cancer screening (CRCS) Rate of Participants","https://ClinicalTrials.gov/show/NCT01492049"
91,"NCT01885351","An Interactive Preventive Health Record to Increase Colorectal Cancer Screening","Recruiting","No Results Available","Colorectal Cancer Screening","Behavioral: MyCRCS+Prefs|Behavioral: MyCRCS+Prefs+Barriers","Virginia Commonwealth University|National Cancer Institute (NCI)","Both","50 Years to 75 Years   (Adult, Senior)","","832","Other|NIH","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Factorial Assignment|Masking: Double Blind (Subject, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","MYCRCS-302259|R01CA166375-01A1","April 23, 2013","August 2013","December 2018","May 4, 2016","May 2016","No Study Results Posted","MyCRCS","December 2018","CRCS adherence provided by the electronic medical record|Self-reported CRCS adherence|EHR Paradata|Psychosocial Constructs|General and test-specific colorectal cancer screening barriers|Feasibility of MyCRCS+ in target setting - patient survey","https://ClinicalTrials.gov/show/NCT01885351"
92,"NCT00807313","Non-interventional Observational Study of Helical Tomotherapy for Oligometastatic Colorectal Cancer","Completed","No Results Available","Colon Cancer|Rectal Cancer|Colorectal Cancer","","Universitair Ziekenhuis Brussel","Both","18 Years and older   (Adult, Senior)","","53","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","RCT501","December 10, 2008","December 2008","July 2011","April 29, 2013","April 2013","No Study Results Posted","tomoligo","July 2011","Metabolic complete remission rate|Acute toxicity|Progression free survival|Local control|Survival|Late toxicity","https://ClinicalTrials.gov/show/NCT00807313"
93,"NCT00737646","Evaluation of an Intervention to Increase Colorectal Cancer Screening in Primary Care Clinics","Completed","No Results Available","Colorectal Cancer","Behavioral: Usual care|Behavioral: Clinic-focused intervention|Behavioral: Clinic- and patient-focused","Centers for Disease Control and Prevention","Both","50 Years to 75 Years   (Adult, Senior)","","5066","U.S. Fed","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Factorial Assignment|Masking: Open Label|Primary Purpose: Prevention","CDC-NCCDPHP-4555","August 15, 2008","July 2009","December 2011","December 14, 2012","December 2012","No Study Results Posted","null","June 2010","Changes in colorectal cancer screening rates (4 modalities)|Changes in the frequency of secondary behavioral outcomes (e.g., clinician-patient discussions about CRC screening)|Changes in measures of attitudes, beliefs, opinions, and social influence surrounding CRC screening among patients, clinicians, and clinical staff.","https://ClinicalTrials.gov/show/NCT00737646"
94,"NCT02786329","Anesthesia and Postoperative Outcome in Colorectal Cancer Patients","Not yet recruiting","No Results Available","Colorectal Cancer.","Drug: TIVA+lidocaine|Drug: Sevoflurane+lidocaine|Drug: TIVA+placebo|Drug: Sevoflurane+placebo","Institutul Regional de Gastroenterologie & Hepatologie Prof. dr. Octavian Fodor|Prof. Dr. I. Chiricuta Institute of Oncology","Both","18 Years to 80 Years   (Adult, Senior)","Phase 0","450","Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)|Primary Purpose: Prevention","53/14.03.2016","May 23, 2016","June 2016","December 2021","May 25, 2016","May 2016","No Study Results Posted","null","December 2019","Survival after TIVA vs sevoflurane anesthesia in patients operated for colorectal cancer|Incidence of recurrences:|Morphine consumption during the first 24 postoperative hours|Severity of postoperative pain - verbal response pain (VRPS) score in recovery room and during the first 48 hrs postoperatively|Resumption of bowel function|Length of hospital stay|Postoperative chronic pain","https://ClinicalTrials.gov/show/NCT02786329"
95,"NCT00324753","Quality Improvement of Patient-Provider Communication For Colorectal Cancer Screening","Completed","No Results Available","Colorectal Cancer","Behavioral: Communication|Behavioral: Standard of care","VA Office of Research and Development","Both","50 Years to 74 Years   (Adult, Senior)","","450","U.S. Fed","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Masking: Single Blind (Subject)|Primary Purpose: Prevention","IIR 03-252","May 9, 2006","April 2007","June 2010","April 24, 2015","April 2015","No Study Results Posted","null","June 2010","(1) completion of colorectal cancer screening tests; (2) quality of communication; and (3) communication content|(1) patient perception of colorectal cancer screening discussions; and (2) usefulness of the intervention","https://ClinicalTrials.gov/show/NCT00324753"
96,"NCT02571374","Symbiotics to Prevent Postoperative Infection in Colorectal Cancer","Recruiting","No Results Available","Colorectal Cancer|Surgical Site Infection","Dietary Supplement: symbiotic group|Dietary Supplement: placebo group","Hospital de Clinicas de Porto Alegre","Both","18 Years to 85 Years   (Adult, Senior)","","92","Other","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Parallel Assignment|Masking: Double Blind (Subject, Caregiver, Investigator, Outcomes Assessor)|Primary Purpose: Supportive Care","symbioticcolorectalcancer","April 11, 2014","October 2013","December 2016","October 7, 2015","October 2015","No Study Results Posted","null","December 2015","Number of participants with colorectal cancer on symbiotic to prevent postoperative infection","https://ClinicalTrials.gov/show/NCT02571374"
97,"NCT00493857","Study of Nimotuzumab and Irinotecan in Metastatic Colorectal Cancer","Terminated","No Results Available","Colorectal Cancer","Drug: Nimotuzumab Humanized Monoclonal Antibody|Drug: Nimotuzumab","YM BioSciences","Both","18 Years and older   (Adult, Senior)","Phase 2","100","Industry","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","YMB 1000-015","June 27, 2007","June 2007","December 2008","November 14, 2008","November 2008","No Study Results Posted","null","August 2008","The primary goal is to assess the Objective Response Rate (ORR) that the combination of irinotecan and nimotuzumab will produce in patients with irinotecan-refractory metastatic colorectal cancer|Assess the incidence of acneiform rash,drug reaction,adverse events, the assessment of progression-free survival,stable disease,time to disease progression, overall survival, objective response rates, safety and trough levels in the serum of patients.","https://ClinicalTrials.gov/show/NCT00493857"
98,"NCT01154335","Everolimus and OSI-906 for Patients With Refractory Metastatic Colorectal Cancer","Completed","Has Results","Metastatic Colorectal Cancer","Drug: OSI-906|Drug: Everolimus","SCRI Development Innovations, LLC|Novartis Pharmaceuticals|OSI Pharmaceuticals","Both","18 Years and older   (Adult, Senior)","Phase 1","18","Other|Industry","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","SCRI GI 124","June 29, 2010","July 2010","May 2013","January 6, 2015","January 2015","January 6, 2015","null","May 2013","To Determine the Maximum Tolerated Dose (MTD) of the Combination of OSI-906 and Everolimus for the Treatment of Patients With Refractory Metastatic Colorectal Cancer.|Progression-Free Survival (PFS)|Overall Survival (OS)|Response Rate","https://ClinicalTrials.gov/show/NCT01154335"
99,"NCT01700283","Developing Objective Fatigue Indicators in Colorectal Cancer Survivors.","Recruiting","No Results Available","Colorectal Cancer","Behavioral: exercise education and walking program","National Taiwan University Hospital|National Science Council, Taiwan","Both","20 Years and older   (Adult, Senior)","","306","Other","Interventional","Allocation: Randomized|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Supportive Care","201208026RIC","October 2, 2012","October 2012","July 2015","November 12, 2012","October 2012","No Study Results Posted","null","July 2015","Developing Objective Fatigue Indicators: Exploring the Relationships Among Fatigue, Muscle Power and Metabolomics Through Fatigue Management and Individualized Exercise Education Program in Colorectal Cancer Survivors","https://ClinicalTrials.gov/show/NCT01700283"
100,"NCT01433146","Effect of Temperament, Anxiety and Depression on Immuninity in Colorectal Cancer Patients. Effetti Del Temperamento, Dell'Ansia e Della Depressione Sulla Sopravvivenza Globale e Sulla Risposta Immunitaria Del Paziente Affetto da Adenocarcinoma Colo-Rettale.","Completed","No Results Available","Temperament|Anxiety|Depression|Colorectal Cancer","","University of Roma La Sapienza","Both","30 Years to 80 Years   (Adult, Senior)","","120","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","65422-SU-CE","September 10, 2011","September 2011","June 2012","June 4, 2012","June 2012","No Study Results Posted","null","January 2012","Temperament in non-metastatic colorectal cancer patients","https://ClinicalTrials.gov/show/NCT01433146"
101,"NCT02877056","Molecular Determinants of Response to Preoperative Therapy in Patients With Locally Advanced Colorectal Cancer","Recruiting","No Results Available","Colorectal Cancer","Procedure: Endoscopy","M.D. Anderson Cancer Center|American Society of Colon and Rectal Surgeons Research","Both","18 Years and older   (Adult, Senior)","","250","Other","Observational","Observational Model: Cohort|Time Perspective: Prospective","LAB04-0962|R33 CA118505-01","August 17, 2016","August 2005","null","August 19, 2016","August 2016","No Study Results Posted","null","August 2022","Predictive Tumor Cell Biomarkers After Chemoradiation Treatment for Colorectal Cancer","https://ClinicalTrials.gov/show/NCT02877056"
102,"NCT01080547","Study Comparing Conventional and Fast Track Multi-Discipline Treatment Interventions for Colorectal Cancer","Recruiting","No Results Available","Length of Stay|Complications|Adverse Drug Event|Quality of Life|Hospital Costs","Procedure: Laparoscopic Surgery for Colorectal Cancer|Drug: XELOX Chemotherapy|Drug: mFolfox6 chemotherapy|Other: Fast Track Perioperative Treatment|Other: Conventional Perioperative Treatment|Procedure: Open Surgery for Colorectal Cancer","Zhejiang University","Both","18 Years and older   (Adult, Senior)","","220","Other","Interventional","Allocation: Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Parallel Assignment|Masking: Open Label|Primary Purpose: Treatment","2009C13017","March 1, 2010","March 2010","January 2013","April 12, 2010","April 2010","No Study Results Posted","null","January 2013","hospitalization day|surgical complications|chemotherapy related adverse event|quality of life|hospitalization costs","https://ClinicalTrials.gov/show/NCT01080547"
103,"NCT00496509","Phase I Efficacy On Vascular Permeability In Patients With Advanced Colorectal Cancer","Completed","No Results Available","Colorectal Cancer","Drug: ZD6474 (Zactima) 100mg|Procedure: Dynamic Contrast-Enhanced Magnetic Resonance Imaging (DCE-MR)|Procedure: Biomarker Draws|Drug: ZD6474 (Zactima) 300mg","Genzyme, a Sanofi Company|Sanofi","Both","18 Years and older   (Adult, Senior)","Phase 1","24","Industry","Interventional","Allocation: Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","D4200C00050","July 3, 2007","August 2006","October 2007","August 25, 2016","August 2016","No Study Results Posted","null","October 2007","Assess by dynamic contrast-enhanced magnetic resonance imaging the effect of once daily dosing with ZD6474 on tumour perfusion and vascular permeability in patients with advanced colorectal cancer and liver metastases.|Assessment of appropriate Pharmacokinetic parameters|Determine the population PK of ZD6474 and assess the relationship between both free and total plasma PK and measures of Pharmacological activity|Assessment of the effectiveness of ZD6474 as measured by objective response rate and progression free survival based on RECIST.","https://ClinicalTrials.gov/show/NCT00496509"
104,"NCT00743678","Neoadjuvant FOLFOX6 + Cetuximab in Patients With Colorectal Cancer and Unresectable Liver Metastasis","Completed","No Results Available","Colorectal Cancer|Unresectable Liver Metastasis","Drug: FOLFOX6/cetuximab","Samsung Medical Center","Both","18 Years and older   (Adult, Senior)","Phase 2","73","Other","Interventional","Allocation: Non-Randomized|Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","2008-04-018","August 27, 2008","June 2008","June 2012","June 13, 2013","June 2013","No Study Results Posted","null","January 2012","To evaluate overall R0 resection rates following neoadjuvant FOLFOX6 plus cetuximab in patients with colorectal cancer and unresectable liver-only metastasis|Response rate (according to RECIST)|Progression-free survival time|Overall survival timeToxicity profile (according to NCI CTCAE v3)|Correlative analyses between pretreatment EGFR, KRAS mutation and response rate/survival","https://ClinicalTrials.gov/show/NCT00743678"
105,"NCT02859155","Prognostic Factors Affecting Outcomes in Multivisceral en Bloc Resection for Colorectal Cancer","Completed","No Results Available","Colorectal Neoplasms","Procedure: Multivisceral en bloc resection surgery","University of Sao Paulo|CAIO SERGIO NAHAS|SERGIO CARLOS NAHAS|Ulysses Ribeiro Junior|Carlos Frederico Sparapan Marques|Rodrigo Ambar Pinto|Antonio Rocco Imperiale|Guilherme Cutait Cotti|William Carlos Nahas|Daher Cezar Chade|Dariane Sampaio Piato|Fabio Busnardo|Ivan Cecconello","Both","18 Years to 70 Years   (Adult, Senior)","","105","Other","Interventional","Endpoint Classification: Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","07081980","August 1, 2016","January 2009","April 2016","August 5, 2016","August 2016","No Study Results Posted","null","February 2014","Survival|Recurrence","https://ClinicalTrials.gov/show/NCT02859155"
106,"NCT00120172","Study of Oxaliplatin, Capecitabine, and Bevacizumab to Treat Older Patients With Colorectal Cancer","Terminated","No Results Available","Colorectal Cancer|Neoplasm Metastasis","Drug: oxaliplatin, capecitabine, bevacizumab","Geriatric Oncology Consortium|Sanofi","Both","65 Years and older   (Adult, Senior)","Phase 2","40","Other|Industry","Interventional","Allocation: Non-Randomized|Endpoint Classification: Safety/Efficacy Study|Intervention Model: Single Group Assignment|Masking: Open Label|Primary Purpose: Treatment","GOC-GI-010","July 8, 2005","May 2005","June 2006","November 15, 2007","November 2007","No Study Results Posted","null","null","To evaluate the efficacy (measured by time to progression) of oxaliplatin, capecitabine, and bevacizumab as first-line therapy in elderly patients with metastatic colorectal cancer.|Overall response|Duration of response|Safety and tolerability (NCI CTCAE v3.0, discontinuations, dose intensity)|Vulnerable Elders Survey (VES-13) and Geriatric Depression Scale (GDS) scores","https://ClinicalTrials.gov/show/NCT00120172"
